1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24		
Code	AlbedoMin	AlbedoMax	Emissivity	StorageMin	StorageMax	WetThreshold	StateLimit	DrainageEq	DrainageCoef1	DrainageCoef2	SoilTypeCode	SnowLimPatch	SnowLimRemove	OHMThresh_SW	OHMThresh_WD	ESTMCode	AnOHM_Cp	AnOHM_Kk	AnOHM_Ch	OHMCode_SummerWet	OHMCode_SummerDry	OHMCode_WinterWet	OHMCode_WinterDry	!	
2025645167.0	0.13874323736772828	0.13874323736772828	0.9100000000000001	0.25	0.25	14.7493531446103	-9999.0	3.0	10.0	3.0	2251.0	190.00000000000003	90.0	10.0	0.9	-9999.0	3125676.2632271713	1.2281419065806793	4.562838131613586	502.0	502.0	502.0	502.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 12
2025653246.0	0.11383227174913499	0.11383227174913499	0.9533333333333331	0.47999999999999987	0.47999999999999987	0.5244076434062277	-9999.0	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	-9999.0	1500000.0	0.09999999999999999	2.0	501.0	501.0	501.0	501.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 1
2025655190.0	0.14873284545037765	0.14873284545037765	0.9099999999999999	0.25	0.25	15.751143306697799	-9999.0	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	-9999.0	2126715.4549622317	1.2031678863740556	4.063357727481116	502.0	502.0	502.0	502.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 1
2025657683.0	0.12	0.12	0.9533333333333334	0.48	0.48	0.48	-9999.0	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	-9999.0	1500000.0	0.1	2.0	501.0	501.0	501.0	501.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 5
2025658665.0	0.13860207241001427	0.13860207241001427	0.9100000000000001	0.25	0.25	12.0	-9999.0	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	-9999.0	3139792.7589985747	1.2284948189749643	4.569896379499287	502.0	502.0	502.0	502.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 5
2025676751.0	0.11491419106977518	0.11491419106977518	0.9533333333333333	0.48	0.48	0.5166178242976187	-9999.0	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	-9999.0	1500000.0	0.1	2.0	501.0	501.0	501.0	501.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 9
2025678261.0	0.14903708769655888	0.14903708769655888	0.91	0.25	0.25	14.308200592578068	-9999.0	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	-9999.0	2096291.2303441116	1.2024072807586026	4.048145615172056	502.0	502.0	502.0	502.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 9
2025680299.0	0.10919658241286162	0.10919658241286162	0.9533333333333333	0.48	0.48	0.5577846066273962	-9999.0	3.0	0.013	1.71	2251.0	189.99999999999997	90.0	10.0	0.9	-9999.0	1500000.0	0.09999999999999999	2.0	501.0	501.0	501.0	501.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 6
2025681829.0	0.149409311850748	0.149409311850748	0.91	0.25	0.25	14.592820220913207	-9999.0	3.0	10.0	3.0	2251.0	189.99999999999997	90.0	10.0	0.9	-9999.0	2059068.8149252015	1.20147672037313	4.0295344074626005	502.0	502.0	502.0	505.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 6
2025689310.0	0.11999999999999998	0.11999999999999998	0.9533333333333333	0.4799999999999999	0.4799999999999999	0.4799999999999999	-9999.0	3.0	10.0	3.0	2251.0	190.0	89.99999999999999	10.0	0.9	-9999.0	1500000.0	0.1	2.0	501.0	501.0	501.0	501.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 2
2025690480.0	0.1452818219147665	0.1452818219147665	0.9099999999999999	0.25	0.25	12.371805446020197	-9999.0	3.0	10.0	3.0	2251.0	190.0	89.99999999999999	10.0	0.9	-9999.0	2471817.8085233504	1.2117954452130837	4.2359089042616755	502.0	502.0	502.0	502.0	!	Buildings, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 2
2025699080.0	0.12	0.12	0.9533333333333333	0.48	0.48	0.48	-9999.000000000002	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	-9999.0	1500000.0	0.1	2.0	501.0	501.0	501.0	501.0	!	Paved, aggregated from X(fraction) Y(fracion) Z(fraction). Used in Grid No. 10
2028256921.0	0.12	0.12	0.9533333333333333	0.48	0.48	0.48	-9999.0	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	5212.0	1500000.0	0.1	2.0	501.0	501.0	501.0	501.0	!	Paved, Paved, Asphalt [sample run], London. Used in Grid No. 13,14
2028267467.0	0.21	0.21	0.93	0.8	0.8	1.0	-9999.0	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	525.0	4000000.0	1.5	5.0	503.0	503.0	503.0	503.0	!	Bare Soil, Bare Soil, Clay [sample run], London. Used in Grid No. 1,10,11,12,13,14,15,2,3,4,5,6,7,8,9
2030434307.0	0.15	0.15	0.91	0.25	0.25	12.0	-9999.0	3.0	10.0	3.0	2251.0	190.0	90.0	10.0	0.9	529.0	6000000.0	1.3	6.0	5024.0	5024.0	5024.0	5024.0	!	Buildings, Buildings, CBD [sample run], London . Used in Grid No. 13,14
-9.0																									
-9.0																									
