motorcycles;taxis;cars;bus and coaches;lgv;TotRig;TotArt;dummy
0.963;1.396;1.054;0.971;0.52;0.384;0.427;0
0.807;1.331;0.954;0.871;0.437;0.31;0.37;0
0.705;1.301;0.893;0.807;0.384;0.338;0.381;0
0.602;1.271;0.832;0.744;0.331;0.365;0.393;0
0.525;1.287;0.748;0.745;0.3;0.409;0.424;0
0.447;1.304;0.665;0.747;0.269;0.453;0.455;0
0.346;1.235;0.539;0.681;0.237;0.452;0.453;0
0.246;1.167;0.412;0.616;0.206;0.451;0.451;0
0.185;1.04;0.323;0.449;0.178;0.408;0.415;0
0.125;0.914;0.234;0.282;0.151;0.365;0.378;0
0.097;0.671;0.2;0.243;0.143;0.392;0.391;0
0.069;0.428;0.165;0.205;0.134;0.419;0.404;0
0.067;0.362;0.153;0.195;0.154;0.368;0.379;0
0.066;0.297;0.14;0.186;0.173;0.317;0.354;0
0.089;0.287;0.155;0.212;0.222;0.428;0.442;0
0.113;0.277;0.17;0.238;0.272;0.539;0.53;0
0.206;0.355;0.234;0.381;0.354;0.725;0.688;0
0.299;0.434;0.299;0.524;0.436;0.911;0.847;0
0.726;0.586;0.56;0.748;0.968;1.239;1.203;0
1.153;0.737;0.821;0.972;1.5;1.566;1.559;0
1.676;0.813;1.124;1.225;1.832;1.552;1.703;0
2.199;0.89;1.427;1.478;2.163;1.539;1.847;0
2.47;0.908;1.519;1.491;1.947;1.557;1.807;0
2.74;0.925;1.611;1.504;1.732;1.576;1.767;0
2.264;0.937;1.488;1.554;1.748;1.769;1.871;0
1.787;0.949;1.366;1.605;1.763;1.963;1.976;0
1.515;1.025;1.283;1.564;1.799;2.045;2.04;0
1.243;1.101;1.201;1.523;1.834;2.127;2.105;0
1.211;1.138;1.189;1.459;1.834;2.158;2.105;0
1.18;1.174;1.177;1.396;1.835;2.189;2.105;0
1.207;1.163;1.207;1.381;1.82;2.19;2.103;0
1.233;1.152;1.237;1.366;1.805;2.191;2.101;0
1.275;1.176;1.245;1.378;1.799;2.133;2.047;0
1.317;1.201;1.252;1.391;1.794;2.076;1.993;0
1.329;1.317;1.266;1.432;1.825;2.025;1.914;0
1.34;1.434;1.28;1.472;1.856;1.974;1.836;0
1.416;1.36;1.349;1.497;1.892;1.908;1.728;0
1.491;1.286;1.418;1.522;1.929;1.843;1.62;0
1.721;1.377;1.492;1.549;1.944;1.715;1.512;0
1.95;1.468;1.566;1.576;1.959;1.588;1.404;0
2.318;1.499;1.663;1.522;1.774;1.469;1.285;0
2.686;1.53;1.761;1.469;1.589;1.35;1.166;0
2.635;1.48;1.723;1.44;1.374;1.27;1.086;0
2.583;1.43;1.686;1.412;1.16;1.189;1.005;0
2.182;1.456;1.608;1.389;1.017;0.836;0.767;0
1.78;1.482;1.531;1.366;0.874;0.483;0.529;0
1.471;1.498;1.363;1.239;0.75;0.479;0.516;0
1.162;1.515;1.196;1.111;0.626;0.475;0.503;0
1;1.448;1.093;1.007;0.539;0.398;0.443;0
0.838;1.381;0.989;0.903;0.452;0.322;0.383;0
0.732;1.349;0.926;0.837;0.398;0.35;0.395;0
0.625;1.318;0.863;0.772;0.343;0.378;0.407;0
0.545;1.335;0.776;0.773;0.311;0.424;0.439;0
0.464;1.352;0.69;0.774;0.279;0.47;0.471;0
0.355;1.261;0.552;0.696;0.243;0.461;0.462;0
0.247;1.171;0.414;0.618;0.207;0.452;0.453;0
0.186;1.044;0.324;0.45;0.179;0.409;0.416;0
0.125;0.917;0.235;0.283;0.152;0.366;0.38;0
0.097;0.673;0.2;0.244;0.143;0.393;0.393;0
