Electr;Gas
0.835301317;1.140127724
0.869984893;1.214591588
0.914321051;1.202059509
1.056075174;1.262534075
1.095077082;1.307015668
1.086604169;1.252880003
1.053552633;1.181111993
0.941223413;1.193644072
0.926414025;1.176376033
1.055868157;1.173971623
1.079893091;1.205556833
1.080992801;1.291204848
1.093878793;1.327489588
1.088033572;1.297470888
0.964656322;1.172842279
0.927552071;1.150911141
1.078988898;1.279729253
1.110476305;1.407308729
1.110147159;1.314046748
1.084208138;1.225739309
1.069548262;1.287926107
0.987693271;1.296997292
0.964509001;1.36238997
1.131737726;1.49659979
1.152470103;1.464395262
1.147187334;1.396088147
1.140452707;1.365085824
1.108742948;1.315540396
0.986604514;1.239109288
0.953474114;1.237069182
1.084661056;1.255211552
1.083113357;1.226431488
1.094214511;1.24632252
1.086434941;1.20453678
1.061629037;1.195611317
0.967189817;1.193534781
0.93857929;1.222824872
1.088304119;1.333901349
1.090578568;1.292079179
1.083047637;1.267015022
1.077800466;1.254300791
1.055907041;1.208689853
0.931413104;1.188252364
0.931189109;1.313828165
1.095971965;1.439294674
1.107551778;1.436307376
1.117625514;1.401625577
1.108403396;1.347890646
1.068157195;1.313500291
0.969980166;1.298199497
0.966759901;1.397618226
1.123653106;1.467127547
1.147220193;1.488330076
1.158746335;1.497437691
1.168271311;1.525562007
1.140924245;1.453211111
1.014514031;1.375432075
0.986130784;1.349202143
1.140286764;1.446143601
1.147171451;1.393355862
1.157362935;1.448584442
1.156419857;1.453028958
1.13781187;1.392226518
1.016289011;1.325485912
0.978602044;1.328291058
1.13143651;1.392882266
1.121802001;1.343154686
1.110767662;1.294155716
1.09732141;1.237142043
1.074562675;1.264064154
0.965440578;1.227232958
0.942118844;1.2195097
1.080032746;1.2850481
1.079926499;1.205374681
1.044217696;1.150255393
1.015231471;1.111857686
0.980810774;1.092003085
0.864232776;1.053168213
0.845928194;1.080454628
0.982778532;1.11061905
0.99558566;1.06009
0.971575512;1.042639809
0.961070765;1.032184267
0.842849773;1.029196969
0.811011313;1.024205996
0.794606579;1.134371711
0.803813362;1.123770447
0.959472133;1.158597968
1.007224072;1.219473269
1.035047058;1.198562185
1.051424409;1.134991029
0.91716288;1.053896822
0.893423827;1.026792558
1.049383265;1.142204261
1.069087676;1.186503702
1.075987698;1.17451808
1.090439461;1.195210582
1.097449016;1.256705201
0.992008865;1.189345278
0.922659239;1.123770447
1.04747356;1.137031135
1.057101497;1.133388089
1.070923994;1.152186207
1.080535501;1.131821579
1.080363535;1.175064537
0.962212097;1.138816228
0.923169114;1.103332958
1.065123135;1.140929194
1.075001354;1.099434899
1.088801945;1.153024108
1.0614735;1.102932223
1.028867215;1.042894822
0.917889083;1.076265125
0.883743314;1.071019139
1.046900703;1.069343337
1.061335489;1.110910494
1.047228206;1.116957951
1.048861341;1.143115022
1.00145662;1.073277827
0.885546772;0.97717427
0.830853736;0.929122491
0.851706599;0.931709054
0.992995756;0.995025196
1.017682268;1.009779533
1.020987422;0.999943308
0.986311514;0.986609759
0.866636474;0.988759157
0.848088182;0.981582356
1.01063383;1.052512464
1.02973362;1.0474122
1.024718111;1.027630459
1.011207782;1.039033193
0.990324797;0.97007033
0.875725509;0.98511611
0.841226497;0.976154217
1.007916868;0.949232106
1.020145114;1.033167889
1.017262758;1.017903526
1.019396457;1.003950659
0.984437954;0.965990118
0.870079639;0.936262861
0.84029711;0.950470741
0.97834738;0.972365449
1.004515873;0.973385502
0.991856614;0.945261185
0.98174728;0.898302321
0.962663372;0.844312377
0.816127593;0.834549013
0.772320478;0.829776622
0.800713035;0.818155305
0.918503015;0.801251571
0.958457311;0.820960451
0.951896841;0.799976505
0.933473416;0.775422374
0.827910041;0.776843162
0.811885933;0.807299028
0.954107214;0.804785326
0.955862478;0.790504585
0.953407299;0.760777328
0.956357019;0.78219844
0.939703645;0.786715817
0.827429739;0.820013259
0.802021405;0.806388266
0.95242698;0.866607819
0.9652478;0.867336428
0.971626993;0.842126549
0.974079433;0.834731165
0.95551964;0.823292
0.841236902;0.789775976
0.814431476;0.773272977
0.958485789;0.700885649
0.958392139;0.630902733
0.965388549;0.666604585
0.973208647;0.740667713
0.965546824;0.74511223
0.836891734;0.736951806
0.780899639;0.73567674
0.932578533;0.747844514
0.956415071;0.767079798
0.961658956;0.794220492
0.954882159;0.81301861
0.928589895;0.783692089
0.821150221;0.757935752
0.776192465;0.747115905
0.931221969;0.740959157
0.954106119;0.759174388
0.949819551;0.755531342
0.949082395;0.767662685
0.927847809;0.732980886
0.816074469;0.676586532
0.79287596;0.671777711
0.956951782;0.676732253
0.968657557;0.6685354
0.971952853;0.689155041
0.982118049;0.660921433
0.944297452;0.666786737
0.813356959;0.636950189
0.790776763;0.622596588
0.941596372;0.672214876
0.938675679;0.692725226
0.942578882;0.702014994
0.945199455;0.712106232
0.928677521;0.702597881
0.815653863;0.70012061
0.792256004;0.700739928
0.92423925;0.717752953
0.924744744;0.706532371
0.940496115;0.682633988
0.949033653;0.702160716
0.916005118;0.664710201
0.817644622;0.691340869
0.781913365;0.710867596
0.910411823;0.662087208
0.918565448;0.650028725
0.913321563;0.680557452
0.917838698;0.657751983
0.908041533;0.642560481
0.800175229;0.586494
0.769293538;0.581102292
0.914004501;0.626348925
0.938256716;0.615929813
0.945563652;0.60860729
0.949461378;0.610028078
0.928321539;0.594035106
0.827396332;0.590027755
