ElUNr_Wi;ElE7_Wi;ElInd_Wi;ElUNr_Sp;ElE7_Sp;ElInd_Sp;ElUNr_Su;ElE7_Su;ElInd_Su;ElUNr_Hi;ElE7_Hi;ElInd_Hi;ElUNr_Au;ElE7_Au;ElInd_Au;dummy
0.746;1.023;0.467;0.776;1.023;0.467;0.814;1.023;0.467;0.842;1.023;0.467;0.733;1.023;0.491;0
0.612;2.008;0.456;0.682;2.008;0.456;0.683;2.008;0.456;0.733;2.008;0.456;0.638;2.008;0.485;0
0.535;2.33;0.451;0.588;2.33;0.451;0.604;2.33;0.451;0.624;2.33;0.451;0.567;2.33;0.472;0
0.478;2.358;0.443;0.541;2.358;0.443;0.552;2.358;0.443;0.597;2.358;0.443;0.520;2.358;0.467;0
0.440;2.292;0.433;0.517;2.292;0.433;0.525;2.292;0.433;0.570;2.292;0.433;0.473;2.292;0.462;0
0.421;2.216;0.433;0.470;2.216;0.433;0.499;2.216;0.433;0.543;2.216;0.433;0.449;2.216;0.455;0
0.402;2.046;0.433;0.447;2.046;0.433;0.499;2.046;0.433;0.516;2.046;0.433;0.449;2.046;0.455;0
0.402;1.818;0.431;0.447;1.818;0.431;0.499;1.818;0.431;0.543;1.818;0.431;0.449;1.818;0.455;0
0.402;1.676;0.443;0.447;1.676;0.443;0.499;1.676;0.443;0.516;1.676;0.443;0.449;1.676;0.467;0
0.402;1.572;0.467;0.470;1.572;0.467;0.499;1.572;0.467;0.543;1.572;0.467;0.449;1.572;0.487;0
0.421;1.459;0.478;0.470;1.459;0.478;0.499;1.459;0.478;0.543;1.459;0.478;0.449;1.459;0.499;0
0.440;1.392;0.499;0.470;1.392;0.499;0.525;1.392;0.499;0.543;1.392;0.499;0.473;1.392;0.545;0
0.516;1.392;0.523;0.541;1.392;0.523;0.578;1.392;0.523;0.597;1.392;0.523;0.544;1.392;0.589;0
0.612;1.364;0.578;0.658;1.364;0.578;0.709;1.364;0.578;0.706;1.364;0.578;0.638;1.364;0.655;0
0.746;1.279;0.67;0.776;1.279;0.67;0.814;1.279;0.67;0.896;1.279;0.67;0.780;1.279;0.712;0
