Data,T_Celsius
StartDate,2015-01-01
EndDate,2015-12-31
Timezone,Europe/London
345,10.03040658
346,10.36691813
347,10.14925262
348,10.14064378
349,10.31358684
350,14.73934483
351,14.18525337
352,13.34066004
353,15.19614022
354,12.92407025
355,10.99728036
356,13.96825201
357,11.52896734
358,11.19648138
359,12.42141437
360,14.80112553
361,14.3520333
362,12.67042172
363,11.68883386
364,12.28763883
365,9.580103977
