 Wd pai   fai   zH
  0 0.760 0.791 28.511
  5 0.710 0.798 30.477
 10 0.770 1.101 31.299
 15 0.860 1.043 40.291
 20 0.850 0.794 42.324
 25 0.800 0.820 41.328
 30 0.800 0.797 40.856
 35 0.830 0.813 39.084
 40 0.830 0.880 37.849
 45 0.780 0.877 39.917
 50 0.760 0.795 37.250
 55 0.790 0.841 32.567
 60 0.780 0.827 32.184
 65 0.820 0.840 30.447
 70 0.840 0.931 28.163
 75 0.830 0.853 27.055
 80 0.860 0.865 24.654
 85 0.800 0.811 23.621
 90 0.770 0.848 22.874
 95 0.780 0.855 21.330
100 0.780 0.848 20.567
105 0.730 0.975 21.173
110 0.740 0.997 21.028
115 0.730 0.978 21.468
120 0.720 1.113 22.706
125 0.740 1.145 22.312
130 0.750 0.916 23.823
135 0.780 1.012 23.454
140 0.750 0.968 26.208
145 0.790 0.867 26.576
150 0.800 0.815 26.570
155 0.760 0.792 27.096
160 0.750 0.784 26.645
165 0.770 0.962 26.685
170 0.790 1.000 26.276
175 0.740 1.078 29.264
180 0.800 1.045 30.277
185 0.800 0.778 29.302
190 0.800 1.178 35.171
195 0.850 0.743 41.721
200 0.860 0.925 41.605
205 0.890 0.765 39.378
210 0.780 0.727 43.472
215 0.770 0.723 44.432
220 0.800 0.700 41.519
225 0.840 0.674 38.516
230 0.810 0.693 34.844
235 0.810 0.750 32.365
240 0.820 0.806 31.116
245 0.840 0.882 29.272
250 0.820 0.941 27.811
255 0.840 0.982 26.803
260 0.870 0.879 24.564
265 0.830 0.855 23.661
270 0.770 0.759 22.994
275 0.760 0.704 22.164
280 0.760 0.762 21.362
285 0.710 0.877 21.489
290 0.690 0.878 22.165
295 0.710 1.037 22.023
300 0.710 1.124 22.081
305 0.780 1.125 21.328
310 0.750 1.175 23.973
315 0.840 0.978 22.838
320 0.740 0.680 27.125
325 0.760 0.730 27.272
330 0.750 0.926 26.844
335 0.720 0.907 26.181
340 0.680 0.884 26.136
345 0.770 0.953 23.973
350 0.740 0.779 25.641
355 0.790 0.754 25.485
