 Wd pai   fai   zH
  0 0.780 1.082 10.829
  5 0.830 1.020 9.901
 10 0.820 0.895 10.691
 15 0.820 0.888 10.604
 20 0.740 0.735 10.192
 25 0.770 0.583 8.552
 30 0.700 0.579 8.663
 35 0.780 0.536 8.725
 40 0.690 0.441 8.693
 45 0.760 0.376 8.110
 50 0.730 0.291 7.076
 55 0.720 0.371 5.647
 60 0.750 0.277 8.410
 65 0.870 0.739 10.954
 70 0.900 0.522 12.121
 75 0.800 0.608 12.746
 80 0.800 0.509 12.719
 85 0.750 0.756 13.813
 90 0.810 0.799 13.713
 95 0.810 0.468 15.219
100 0.840 0.482 16.263
105 0.850 0.358 16.212
110 0.860 0.459 15.349
115 0.870 0.421 15.429
120 0.840 0.537 15.639
125 0.740 0.682 15.296
130 0.720 0.428 12.171
135 0.680 0.459 11.754
140 0.690 0.545 7.306
145 0.650 0.713 8.252
150 0.870 1.249 10.002
155 0.830 0.970 11.315
160 0.820 1.118 10.390
165 0.830 1.078 10.732
170 0.800 0.952 11.383
175 0.850 0.939 10.697
180 0.850 0.988 10.280
185 0.810 0.916 10.682
190 0.850 0.901 10.618
195 0.830 0.935 11.277
200 0.810 0.827 9.641
205 0.760 0.783 8.681
210 0.720 0.725 8.283
215 0.710 0.645 8.939
220 0.740 0.598 8.023
225 0.750 0.597 8.970
230 0.670 0.283 7.676
235 0.700 0.179 6.354
240 0.750 0.000 8.824
245 0.800 0.291 9.671
250 0.820 0.666 10.941
255 0.780 0.527 11.548
260 0.730 0.514 13.020
265 0.760 0.524 13.422
270 0.780 0.797 14.375
275 0.820 0.742 15.505
280 0.870 0.445 15.946
285 0.860 0.780 15.960
290 0.800 0.735 16.810
295 0.820 0.817 16.725
300 0.850 0.781 15.355
305 0.790 1.092 13.723
310 0.770 0.767 11.835
315 0.740 1.033 12.098
320 0.650 0.968 7.832
325 0.590 0.839 8.215
330 0.690 0.976 7.994
335 0.860 1.115 10.464
340 0.820 1.027 10.275
345 0.840 1.107 10.326
350 0.820 1.123 10.764
355 0.860 1.048 10.362
