 Wd pai   fai   zH
  0 0.490 0.307 5.619
  5 0.550 0.305 5.980
 10 0.590 0.331 6.913
 15 0.600 0.317 7.754
 20 0.660 0.368 8.040
 25 0.610 0.315 9.474
 30 0.620 0.331 10.373
 35 0.630 0.309 12.054
 40 0.640 0.347 14.249
 45 0.670 0.328 15.515
 50 0.690 0.351 18.504
 55 0.760 0.027 17.319
 60 0.710 0.029 17.219
 65 0.750 0.274 15.906
 70 0.780 0.421 10.791
 75 0.720 0.922 11.866
 80 0.750 0.429 12.910
 85 0.730 0.357 14.455
 90 0.720 0.409 16.137
 95 0.660 0.973 14.956
100 0.600 0.686 12.818
105 0.560 0.671 9.857
110 0.620 0.409 7.977
115 0.620 0.284 7.604
120 0.650 0.392 7.477
125 0.630 0.524 15.389
130 0.690 0.587 18.122
135 0.670 0.511 19.615
140 0.660 0.383 22.822
145 0.640 0.335 23.066
150 0.600 0.450 23.352
155 0.550 0.151 20.741
160 0.540 0.000 20.647
165 0.530 0.000 21.112
170 0.540 1.511 16.745
175 0.500 0.171 1.301
180 0.490 0.238 3.282
185 0.580 0.309 4.548
190 0.550 0.295 5.904
195 0.540 0.343 7.094
200 0.610 0.289 7.905
205 0.610 0.316 8.715
210 0.620 0.331 9.590
215 0.630 0.360 11.209
220 0.660 0.339 12.765
225 0.680 0.360 14.516
230 0.720 0.355 17.156
235 0.700 0.379 19.176
240 0.770 0.464 17.482
245 0.850 0.423 16.783
250 0.910 0.740 15.425
255 0.900 0.374 12.198
260 0.740 0.100 15.182
265 0.720 0.115 15.753
270 0.750 0.309 15.887
275 0.680 0.410 11.961
280 0.700 0.407 10.150
285 0.700 0.336 7.681
290 0.700 0.257 6.774
295 0.650 0.252 7.251
300 0.650 0.206 7.616
305 0.610 1.433 12.843
310 0.650 1.494 18.851
315 0.670 1.386 19.763
320 0.670 1.254 21.167
325 0.640 1.527 22.357
330 0.610 1.759 20.390
335 0.630 1.287 17.408
340 0.570 1.433 19.941
345 0.600 1.481 19.701
350 0.560 1.606 17.438
355 0.600 0.513 2.861
