 Wd pai   fai   zH
  0 0.730 1.068 33.052
  5 0.790 1.042 30.957
 10 0.780 1.024 30.557
 15 0.770 1.067 30.107
 20 0.760 1.058 29.561
 25 0.770 0.986 24.042
 30 0.690 0.960 20.056
 35 0.650 0.723 20.466
 40 0.690 0.686 17.639
 45 0.600 1.745 22.846
 50 0.690 1.541 28.146
 55 0.820 1.205 33.524
 60 0.860 1.069 37.915
 65 0.860 1.210 38.951
 70 0.870 1.219 39.319
 75 0.880 1.491 37.100
 80 0.870 1.910 30.187
 85 0.840 0.943 31.147
 90 0.920 1.140 33.153
 95 0.860 1.405 35.959
100 0.890 1.094 35.167
105 0.890 1.161 35.149
110 0.880 1.075 34.884
115 0.850 1.275 32.642
120 0.810 1.183 31.720
125 0.800 1.175 32.226
130 0.690 1.272 36.190
135 0.780 1.357 31.656
140 0.800 1.254 29.854
145 0.870 1.355 28.440
150 0.810 1.458 29.073
155 0.770 1.350 26.101
160 0.770 1.398 26.272
165 0.700 1.317 25.950
170 0.690 0.618 23.330
175 0.740 0.661 25.641
180 0.780 1.188 28.264
185 0.780 0.716 29.143
190 0.780 0.692 29.348
195 0.750 0.647 30.003
200 0.790 0.877 26.243
205 0.680 1.518 22.030
210 0.640 0.705 17.920
215 0.640 0.680 17.639
220 0.600 0.682 19.249
225 0.640 1.002 18.623
230 0.720 1.589 25.059
235 0.760 1.639 34.749
240 0.830 1.694 37.627
245 0.850 1.349 38.265
250 0.880 1.507 38.376
255 0.890 1.761 38.426
260 0.860 1.956 31.050
265 0.880 1.492 29.031
270 0.850 1.743 36.059
275 0.890 1.647 37.564
280 0.850 1.105 38.230
285 0.880 0.717 35.551
290 0.880 0.758 35.504
295 0.900 0.802 33.063
300 0.790 0.777 33.161
305 0.770 0.604 34.238
310 0.730 0.592 34.275
315 0.750 0.800 32.971
320 0.860 0.683 27.658
325 0.810 0.980 30.011
330 0.830 1.474 27.715
335 0.810 1.305 25.134
340 0.800 1.353 23.691
345 0.700 0.830 22.412
350 0.740 0.989 21.349
355 0.730 1.154 25.867
