 Wd pai   fai   zH
  0 0.850 2.068 55.569
  5 0.890 1.863 46.121
 10 0.820 2.303 50.037
 15 0.760 1.705 53.492
 20 0.860 1.865 48.722
 25 0.690 3.803 40.125
 30 0.650 1.888 27.272
 35 0.650 1.503 22.190
 40 0.640 1.332 20.653
 45 0.600 1.221 20.971
 50 0.620 1.239 18.722
 55 0.650 1.184 16.109
 60 0.760 1.336 14.811
 65 0.670 1.201 16.488
 70 0.730 1.219 15.935
 75 0.780 1.190 15.348
 80 0.700 1.528 18.701
 85 0.730 1.267 16.827
 90 0.680 1.268 20.275
 95 0.640 1.283 20.781
100 0.710 1.660 23.096
105 0.770 1.820 26.130
110 0.780 1.885 27.622
115 0.780 1.808 29.346
120 0.820 1.792 30.885
125 0.820 1.603 30.388
130 0.810 1.894 35.974
135 0.820 2.055 40.045
140 0.830 1.979 45.461
145 0.830 1.704 48.276
150 0.810 1.762 52.474
155 0.860 1.711 48.209
160 0.900 1.684 48.225
165 0.970 1.432 45.807
170 0.920 1.495 50.285
175 0.900 1.406 49.799
180 0.890 1.786 54.788
185 0.850 1.669 47.410
190 0.790 1.570 51.654
195 0.810 1.324 50.978
200 0.720 1.571 58.274
205 0.800 2.794 49.696
210 0.690 2.730 33.108
215 0.650 1.627 26.951
220 0.610 1.611 26.277
225 0.690 1.575 21.246
230 0.700 1.501 18.967
235 0.600 1.250 20.220
240 0.650 1.416 20.347
245 0.660 1.297 19.962
250 0.680 1.396 20.754
255 0.670 1.321 19.555
260 0.710 1.317 19.231
265 0.660 1.172 20.024
270 0.630 1.365 24.089
275 0.680 1.365 20.257
280 0.650 1.671 24.295
285 0.750 2.219 24.299
290 0.770 1.563 27.964
295 0.790 1.831 30.177
300 0.840 1.746 30.603
305 0.840 1.620 31.374
310 0.850 1.854 35.859
315 0.820 1.810 43.379
320 0.800 1.754 50.968
325 0.830 1.611 48.063
330 0.830 1.879 51.196
335 0.830 2.046 48.525
340 0.760 1.904 54.127
345 0.960 1.589 43.722
350 0.880 1.817 51.064
355 0.870 1.620 50.583
