 Wd pai   fai   zH
  0 0.700 0.382 14.669
  5 0.740 0.237 14.218
 10 0.830 0.191 14.175
 15 0.840 0.513 13.451
 20 0.870 0.500 13.410
 25 0.810 0.494 15.241
 30 0.810 0.656 13.757
 35 0.770 0.870 13.398
 40 0.820 1.009 13.974
 45 0.790 1.121 16.237
 50 0.770 0.826 17.563
 55 0.780 0.840 16.766
 60 0.760 0.819 17.021
 65 0.760 0.755 16.095
 70 0.780 0.748 14.647
 75 0.700 0.768 13.630
 80 0.640 0.779 11.377
 85 0.600 0.609 11.089
 90 0.590 0.548 11.009
 95 0.650 0.551 9.039
100 0.540 0.563 9.332
105 0.610 0.536 7.788
110 0.510 0.528 7.959
115 0.620 0.482 4.818
120 0.560 0.508 3.594
125 0.450 0.423 2.493
130 0.520 0.106 1.050
135 0.520 0.107 1.112
140 0.530 0.191 2.295
145 0.610 0.170 2.310
150 0.570 0.185 2.191
155 0.560 0.513 3.638
160 0.730 0.530 6.009
165 0.680 0.553 10.424
170 0.740 0.624 13.943
175 0.740 0.595 14.768
180 0.740 0.558 13.577
185 0.790 0.521 13.025
190 0.780 0.533 13.985
195 0.830 0.632 11.692
200 0.870 0.635 14.535
205 0.880 0.487 13.871
210 0.810 0.614 13.706
215 0.790 0.696 13.452
220 0.810 0.758 14.608
225 0.820 0.852 15.613
230 0.790 0.776 17.740
235 0.770 0.876 17.337
240 0.770 0.757 17.182
245 0.750 0.772 16.826
250 0.730 0.753 16.107
255 0.760 0.653 12.520
260 0.670 0.522 10.897
265 0.680 0.201 9.715
270 0.640 0.174 10.449
275 0.530 0.186 11.130
280 0.610 0.150 8.210
285 0.540 0.217 8.606
290 0.650 0.193 5.771
295 0.570 0.142 4.772
300 0.550 0.169 3.317
305 0.570 0.140 1.258
310 0.610 0.138 0.860
315 0.560 0.135 0.993
320 0.580 0.211 1.749
325 0.570 0.217 2.341
330 0.670 0.273 2.200
335 0.660 0.625 4.052
340 0.540 0.805 9.195
345 0.750 0.820 10.471
350 0.740 0.465 14.150
355 0.800 0.395 14.177
