 Wd pai   fai   zH
  0 0.680 0.305 6.951
  5 0.690 0.180 6.961
 10 0.690 0.113 6.839
 15 0.720 0.104 6.573
 20 0.690 0.111 6.936
 25 0.680 0.156 6.982
 30 0.720 0.188 6.462
 35 0.700 0.214 9.087
 40 0.730 0.203 9.371
 45 0.730 0.189 9.858
 50 0.760 0.228 9.158
 55 0.730 0.177 8.403
 60 0.790 0.261 8.479
 65 0.760 0.177 8.735
 70 0.760 0.251 9.871
 75 0.790 0.107 10.540
 80 0.740 0.123 11.876
 85 0.740 0.464 12.646
 90 0.810 0.921 12.446
 95 0.880 0.914 12.362
100 0.930 1.205 12.288
105 0.970 1.605 12.435
110 0.740 0.665 11.024
115 0.870 0.892 12.730
120 0.930 0.701 10.828
125 0.790 0.469 11.198
130 0.740 0.348 11.009
135 0.750 0.417 11.046
140 0.840 0.306 9.093
145 0.750 0.367 9.578
150 0.780 0.263 8.775
155 0.730 0.285 9.216
160 0.740 0.219 7.975
165 0.730 0.249 7.689
170 0.730 0.301 7.350
175 0.710 0.213 7.055
180 0.720 0.254 6.649
185 0.710 0.331 6.939
190 0.680 0.239 6.816
195 0.720 0.216 6.583
200 0.710 0.193 6.674
205 0.710 0.234 6.776
210 0.670 0.316 7.157
215 0.680 0.589 7.925
220 0.750 0.517 9.231
225 0.770 0.618 9.163
230 0.750 0.554 9.467
235 0.720 0.411 8.717
240 0.760 0.476 8.973
245 0.760 0.369 8.502
250 0.770 0.359 9.394
255 0.780 0.247 10.583
260 0.840 0.411 10.630
265 0.860 0.387 11.692
270 0.860 0.549 12.529
275 0.810 0.822 13.967
280 0.880 1.038 14.561
285 0.940 1.551 14.292
290 0.800 0.844 12.378
295 0.850 0.784 12.382
300 0.940 0.703 11.517
305 0.860 0.432 11.170
310 0.870 0.311 9.785
315 0.830 0.204 10.132
320 0.750 0.137 10.345
325 0.770 0.178 9.601
330 0.770 0.122 8.980
335 0.770 0.270 8.776
340 0.750 0.176 7.876
345 0.740 0.173 7.470
350 0.700 0.215 7.147
355 0.700 0.086 7.204
