 Wd pai   fai   zH
  0 0.810 1.045 55.005
  5 0.860 0.922 50.675
 10 0.890 1.217 49.323
 15 0.920 2.144 49.534
 20 0.940 1.467 44.560
 25 0.920 1.365 38.251
 30 0.880 1.487 34.966
 35 0.850 1.212 33.690
 40 0.870 1.061 33.509
 45 0.910 1.084 34.919
 50 0.880 1.184 35.191
 55 0.800 1.041 38.521
 60 0.790 0.973 40.619
 65 0.790 0.954 41.716
 70 0.760 0.983 41.946
 75 0.780 1.075 37.725
 80 0.760 1.098 35.733
 85 0.690 0.866 35.564
 90 0.690 0.898 35.500
 95 0.700 0.991 34.568
100 0.700 1.051 35.215
105 0.760 1.011 33.235
110 0.720 1.072 34.621
115 0.740 1.008 32.592
120 0.720 1.032 33.715
125 0.720 1.208 35.116
130 0.780 1.490 41.509
135 0.790 0.618 50.144
140 0.800 0.218 51.035
145 0.730 0.029 56.109
150 0.760 0.045 54.050
155 0.820 0.157 50.251
160 0.820 0.147 52.017
165 0.820 0.211 52.300
170 0.880 0.300 49.567
175 0.850 0.251 51.022
180 0.880 0.236 49.678
185 0.860 0.201 49.036
190 0.850 0.652 47.516
195 0.930 1.436 38.934
200 0.940 1.648 37.823
205 0.860 1.106 35.128
210 0.840 1.337 32.963
215 0.880 1.312 31.032
220 0.860 1.354 32.259
225 0.880 1.049 35.711
230 0.880 1.119 34.252
235 0.830 1.015 35.952
240 0.800 0.972 38.175
245 0.860 0.965 37.047
250 0.850 0.909 37.145
255 0.770 0.933 37.835
260 0.670 0.957 39.616
265 0.670 0.879 36.946
270 0.650 0.955 37.775
275 0.720 0.972 33.684
280 0.750 1.009 32.777
285 0.730 0.953 34.476
290 0.730 0.930 34.313
295 0.670 0.909 36.384
300 0.630 0.907 38.585
305 0.730 1.212 34.161
310 0.760 1.773 40.530
315 0.800 1.499 48.132
320 0.720 0.952 56.543
325 0.770 0.869 53.774
330 0.730 0.911 57.233
335 0.800 0.848 52.581
340 0.870 0.833 50.116
345 0.880 0.870 49.710
350 0.840 0.875 52.840
355 0.860 1.044 51.153
