 Wd pai   fai   zH
  0 0.900 1.185 31.640
  5 0.830 1.226 29.335
 10 0.820 0.958 29.260
 15 0.780 0.843 27.756
 20 0.700 0.773 25.808
 25 0.730 0.171 25.235
 30 0.710 0.099 26.257
 35 0.770 0.000 24.317
 40 0.740 0.023 25.134
 45 0.730 0.000 25.089
 50 0.690 0.000 25.980
 55 0.730 0.069 24.069
 60 0.710 0.093 23.883
 65 0.710 0.228 23.162
 70 0.750 0.242 22.029
 75 0.770 0.238 21.983
 80 0.730 0.380 21.824
 85 0.730 0.384 16.616
 90 0.690 0.274 7.894
 95 0.520 0.267 10.315
100 0.590 0.276 8.466
105 0.580 0.253 8.612
110 0.540 0.256 9.605
115 0.680 0.289 13.288
120 0.710 0.317 16.350
125 0.730 0.357 18.435
130 0.700 0.473 20.512
135 0.700 0.797 22.170
140 0.730 0.933 22.236
145 0.770 0.912 21.105
150 0.730 0.446 22.108
155 0.780 0.456 22.010
160 0.750 0.522 24.914
165 0.810 0.535 27.122
170 0.830 0.580 30.092
175 0.920 0.906 31.457
180 0.930 0.835 29.422
185 0.820 0.978 29.167
190 0.780 0.901 29.876
195 0.750 1.050 26.448
200 0.760 0.553 23.321
205 0.750 0.448 24.656
210 0.730 0.453 25.947
215 0.730 0.482 25.776
220 0.710 0.471 26.403
225 0.730 0.435 25.544
230 0.730 0.403 25.284
235 0.740 0.390 24.488
240 0.760 0.470 23.356
245 0.730 0.671 24.076
250 0.770 0.649 24.159
255 0.790 0.381 23.952
260 0.810 0.535 21.603
265 0.770 0.548 18.368
270 0.720 0.428 7.996
275 0.680 0.180 7.413
280 0.580 0.066 8.894
285 0.630 0.023 7.892
290 0.630 0.022 7.716
295 0.600 0.392 13.101
300 0.690 0.522 15.736
305 0.720 0.761 17.648
310 0.670 0.975 21.943
315 0.690 0.956 22.529
320 0.660 0.949 24.512
325 0.710 0.953 22.471
330 0.760 0.859 21.840
335 0.790 0.923 22.474
340 0.810 0.824 25.147
345 0.830 0.848 28.560
350 0.860 0.925 31.289
355 0.920 1.220 32.488
