 Wd pai   fai   zH
  0 0.550 0.331 9.226
  5 0.630 0.488 9.677
 10 0.640 0.581 12.533
 15 0.620 0.692 15.240
 20 0.740 0.425 15.451
 25 0.740 0.362 16.980
 30 0.740 0.311 16.545
 35 0.760 0.448 14.259
 40 0.730 0.410 11.828
 45 0.730 0.432 9.316
 50 0.660 0.381 9.438
 55 0.640 0.260 11.038
 60 0.680 0.276 10.434
 65 0.690 0.412 11.009
 70 0.760 0.484 10.956
 75 0.690 0.481 11.558
 80 0.680 0.406 11.597
 85 0.640 0.285 10.909
 90 0.690 0.394 10.358
 95 0.680 0.380 10.293
100 0.640 0.369 9.844
105 0.660 0.360 10.689
110 0.670 0.491 11.642
115 0.690 0.296 10.817
120 0.670 0.266 11.951
125 0.610 0.291 14.570
130 0.680 0.295 11.645
135 0.650 0.310 9.810
140 0.640 0.291 7.425
145 0.610 0.401 7.183
150 0.570 0.251 7.853
155 0.570 0.310 7.896
160 0.580 0.307 7.585
165 0.590 0.313 7.480
170 0.610 0.272 7.500
175 0.580 0.287 8.547
180 0.530 0.275 9.451
185 0.630 0.577 10.498
190 0.680 0.625 12.699
195 0.760 0.593 13.546
200 0.760 0.664 16.015
205 0.820 0.542 16.063
210 0.770 0.704 16.770
215 0.730 0.642 15.093
220 0.730 0.583 12.278
225 0.700 0.640 10.398
230 0.670 0.359 9.494
235 0.620 0.594 10.806
240 0.620 0.644 11.329
245 0.700 0.699 10.672
250 0.660 0.848 11.966
255 0.680 0.749 11.951
260 0.700 0.717 11.546
265 0.630 0.663 11.643
270 0.660 0.707 11.354
275 0.660 0.629 10.585
280 0.640 0.472 9.682
285 0.670 0.407 10.903
290 0.670 0.521 11.483
295 0.650 0.302 11.437
300 0.710 0.310 11.163
305 0.640 0.288 13.563
310 0.610 0.305 11.880
315 0.670 0.380 8.333
320 0.580 0.326 7.963
325 0.590 0.290 7.489
330 0.570 0.301 8.047
335 0.650 0.290 6.745
340 0.530 0.245 8.379
345 0.600 0.298 7.286
350 0.590 0.307 7.766
355 0.590 0.300 8.309
