 Wd pai   fai   zH
  0 0.580 0.091 0.955
  5 0.650 0.104 0.565
 10 0.520 0.000 0.811
 15 0.500 0.000 0.090
 20 0.490 0.274 0.466
 25 0.650 0.880 13.895
 30 0.750 1.018 18.375
 35 0.770 1.363 21.720
 40 0.850 1.456 23.805
 45 0.850 0.988 24.508
 50 0.800 0.446 23.641
 55 0.820 0.556 24.931
 60 0.800 0.470 26.640
 65 0.890 0.318 24.425
 70 0.880 0.525 22.660
 75 0.860 0.499 17.168
 80 0.790 0.634 15.886
 85 0.800 0.489 12.522
 90 0.870 0.541 16.369
 95 0.710 0.340 15.600
100 0.780 0.539 16.335
105 0.810 0.496 17.861
110 0.820 0.608 16.555
115 0.790 0.706 16.695
120 0.800 0.725 19.418
125 0.820 0.681 20.404
130 0.820 0.567 20.844
135 0.860 1.291 18.164
140 0.810 0.297 18.931
145 0.720 0.429 19.810
150 0.760 0.370 16.907
155 0.730 0.318 15.373
160 0.710 0.166 14.724
165 0.650 0.163 13.604
170 0.610 0.213 9.444
175 0.640 0.084 0.563
180 0.460 0.072 1.031
185 0.410 0.142 1.020
190 0.540 0.104 0.778
195 0.570 0.070 0.229
200 0.580 0.460 3.059
205 0.600 0.413 14.074
210 0.690 0.803 18.198
215 0.770 0.915 20.063
220 0.800 0.990 24.193
225 0.850 1.195 23.267
230 0.810 0.943 23.091
235 0.820 1.021 24.299
240 0.860 1.272 25.149
245 0.890 0.865 24.201
250 0.890 0.958 22.662
255 0.880 0.975 17.994
260 0.900 1.152 14.918
265 0.810 0.695 11.746
270 0.660 0.734 18.511
275 0.730 0.482 15.493
280 0.750 0.307 17.458
285 0.820 0.338 18.996
290 0.880 0.603 17.504
295 0.770 0.593 19.046
300 0.790 0.748 20.089
305 0.810 0.636 20.307
310 0.800 0.668 20.871
315 0.730 1.154 17.222
320 0.820 1.216 17.306
325 0.760 0.644 18.490
330 0.750 0.511 16.521
335 0.730 0.289 15.914
340 0.720 0.445 15.253
345 0.750 0.420 13.588
350 0.710 0.391 10.270
355 0.400 0.121 0.819
