 Wd pai   fai   zH
  0 0.790 0.302 25.087
  5 0.800 0.518 23.627
 10 0.750 0.420 22.294
 15 0.810 0.409 22.248
 20 0.790 0.713 15.672
 25 0.700 0.767 9.028
 30 0.610 0.438 7.315
 35 0.650 0.311 10.629
 40 0.640 0.220 13.955
 45 0.730 0.311 14.079
 50 0.690 0.244 16.491
 55 0.700 0.250 17.040
 60 0.650 0.250 17.350
 65 0.640 0.109 17.088
 70 0.700 0.000 16.333
 75 0.710 0.070 16.900
 80 0.680 0.036 18.166
 85 0.630 0.000 20.023
 90 0.660 0.000 19.309
 95 0.700 0.000 18.230
100 0.680 0.021 18.557
105 0.670 0.000 18.201
110 0.670 0.000 18.525
115 0.680 0.044 18.180
120 0.730 0.606 16.193
125 0.700 0.762 13.885
130 0.710 0.976 14.812
135 0.670 0.897 13.298
140 0.660 0.848 11.453
145 0.640 0.595 12.418
150 0.700 0.610 16.694
155 0.770 0.855 20.261
160 0.750 0.691 21.994
165 0.760 0.649 21.864
170 0.840 0.480 22.284
175 0.820 0.538 23.911
180 0.850 0.423 23.123
185 0.780 0.474 23.104
190 0.780 0.510 23.679
195 0.870 0.636 22.272
200 0.810 0.433 20.221
205 0.730 0.489 11.754
210 0.660 0.519 9.206
215 0.700 0.781 9.077
220 0.670 0.551 12.743
225 0.740 0.422 12.955
230 0.720 0.389 15.139
235 0.720 0.341 16.078
240 0.660 0.599 15.991
245 0.640 0.395 16.356
250 0.640 0.412 17.653
255 0.650 0.374 17.831
260 0.660 0.346 18.620
265 0.740 0.398 16.651
270 0.640 0.358 19.965
275 0.670 0.357 18.862
280 0.680 0.364 18.735
285 0.700 0.378 17.544
290 0.730 0.361 16.924
295 0.690 0.489 18.108
300 0.710 0.811 19.898
305 0.750 1.283 15.744
310 0.760 0.866 15.027
315 0.700 0.814 13.933
320 0.690 0.927 12.736
325 0.670 0.813 13.745
330 0.710 1.182 17.350
335 0.750 0.924 22.580
340 0.750 0.634 23.782
345 0.720 0.087 22.696
350 0.770 0.237 24.857
355 0.810 0.347 24.121
