 Wd pai   fai   zH
  0 0.820 0.610 29.498
  5 0.960 0.461 23.552
 10 0.930 0.575 22.769
 15 0.900 1.029 17.609
 20 0.720 0.570 10.198
 25 0.740 0.390 11.223
 30 0.780 0.276 11.277
 35 0.770 0.267 10.930
 40 0.770 0.299 8.878
 45 0.690 0.182 8.519
 50 0.650 0.243 9.118
 55 0.740 1.456 13.256
 60 0.770 1.691 28.013
 65 0.810 1.654 30.452
 70 0.860 1.465 30.782
 75 0.850 1.781 33.300
 80 0.850 2.029 36.828
 85 0.850 2.046 40.695
 90 0.840 1.942 48.221
 95 0.890 1.768 47.918
100 0.910 1.869 52.105
105 0.900 2.027 56.425
110 0.780 2.929 27.094
115 0.730 0.571 22.465
120 0.730 0.516 21.591
125 0.760 0.307 20.544
130 0.740 0.132 20.787
135 0.740 0.170 20.009
140 0.730 0.161 21.043
145 0.740 0.181 20.710
150 0.800 0.183 20.537
155 0.740 0.197 23.956
160 0.750 0.058 27.087
165 0.780 0.157 26.027
170 0.770 0.042 26.730
175 0.850 0.096 25.120
180 0.750 0.169 28.928
185 0.960 0.757 21.641
190 0.930 0.771 18.792
195 0.810 0.930 12.276
200 0.730 0.255 9.577
205 0.780 0.287 10.205
210 0.730 0.269 11.872
215 0.800 0.323 11.150
220 0.680 0.431 10.946
225 0.640 0.340 9.082
230 0.730 0.436 7.942
235 0.780 1.661 19.314
240 0.770 1.502 28.257
245 0.790 1.631 31.157
250 0.860 1.591 31.754
255 0.840 1.827 34.571
260 0.860 2.253 36.816
265 0.880 2.157 40.235
270 0.850 2.744 45.337
275 0.900 2.092 47.167
280 0.900 1.909 52.106
285 0.920 2.213 54.242
290 0.780 1.131 20.746
295 0.740 0.523 21.751
300 0.780 0.659 20.825
305 0.730 0.507 21.666
310 0.770 0.447 20.135
315 0.730 0.471 20.575
320 0.740 0.511 21.121
325 0.780 0.428 19.266
330 0.760 0.540 21.017
335 0.770 0.614 22.491
340 0.800 0.586 25.025
345 0.790 0.444 25.748
350 0.810 0.439 26.000
355 0.760 0.575 29.283
