 Wd pai   fai   zH
  0 0.490 0.036 13.616
  5 0.560 0.000 12.123
 10 0.610 0.311 12.605
 15 0.560 0.390 13.023
 20 0.570 0.322 8.662
 25 0.520 0.109 7.091
 30 0.660 0.639 9.659
 35 0.610 0.949 19.085
 40 0.730 0.740 27.271
 45 0.790 0.676 33.310
 50 0.820 0.617 37.849
 55 0.820 1.119 40.408
 60 0.790 0.932 40.818
 65 0.770 0.590 36.122
 70 0.840 1.087 37.721
 75 0.890 1.251 40.188
 80 0.890 0.848 44.853
 85 0.890 0.656 45.511
 90 0.890 0.721 50.383
 95 0.890 0.831 49.996
100 0.880 1.665 46.425
105 0.860 2.338 43.141
110 0.830 1.408 35.916
115 0.850 1.685 34.639
120 0.830 1.251 28.511
125 0.790 1.014 29.958
130 0.800 1.749 26.486
135 0.840 0.958 30.465
140 0.790 1.945 24.285
145 0.720 0.993 17.087
150 0.690 0.786 17.202
155 0.750 0.739 12.898
160 0.670 0.969 16.127
165 0.750 0.825 14.032
170 0.700 1.356 13.912
175 0.620 1.589 13.686
180 0.540 0.847 11.590
185 0.530 0.900 12.608
190 0.570 1.163 14.036
195 0.620 1.399 11.806
200 0.590 0.779 9.495
205 0.560 1.426 8.177
210 0.630 1.141 13.766
215 0.720 0.808 16.530
220 0.710 0.899 26.699
225 0.810 0.896 31.904
230 0.810 1.004 37.328
235 0.810 1.453 39.481
240 0.770 1.398 40.497
245 0.780 1.198 34.901
250 0.850 1.334 37.133
255 0.860 2.138 42.668
260 0.890 0.772 45.182
265 0.880 0.737 45.675
270 0.900 0.839 49.521
275 0.900 0.889 49.741
280 0.910 1.296 47.701
285 0.880 1.905 45.214
290 0.770 0.899 39.205
295 0.850 0.887 34.510
300 0.790 0.824 33.422
305 0.790 1.656 29.117
310 0.740 2.119 26.243
315 0.800 1.605 31.670
320 0.740 2.008 24.715
325 0.760 0.938 17.026
330 0.760 0.725 15.309
335 0.760 0.708 12.778
340 0.740 0.738 14.090
345 0.790 0.782 12.579
350 0.700 1.071 13.701
355 0.570 0.345 12.776
