 Wd pai   fai   zH
  0 0.600 0.129 3.134
  5 0.610 0.345 3.092
 10 0.580 0.386 4.858
 15 0.740 0.359 8.451
 20 0.770 0.699 16.348
 25 0.850 0.554 22.634
 30 0.830 0.391 27.673
 35 0.840 0.478 28.134
 40 0.780 0.734 28.235
 45 0.870 0.938 24.790
 50 0.810 1.502 22.848
 55 0.840 1.477 22.457
 60 0.750 0.717 26.042
 65 0.770 0.366 24.224
 70 0.810 0.347 21.112
 75 0.740 0.329 20.984
 80 0.690 0.600 16.176
 85 0.640 0.879 12.622
 90 0.490 0.805 7.064
 95 0.530 0.792 5.024
100 0.540 0.843 6.677
105 0.520 0.813 7.466
110 0.640 0.972 7.394
115 0.640 1.046 11.639
120 0.710 1.171 10.680
125 0.630 1.103 10.490
130 0.610 1.006 10.975
135 0.680 1.157 8.397
140 0.660 0.427 9.618
145 0.680 0.338 11.252
150 0.750 0.175 12.279
155 0.740 0.294 10.944
160 0.630 0.369 10.179
165 0.670 0.358 8.138
170 0.680 0.397 6.094
175 0.590 0.104 3.263
180 0.560 0.128 3.346
185 0.590 0.435 5.684
190 0.630 0.538 7.015
195 0.640 0.267 9.387
200 0.700 1.049 13.310
205 0.850 0.698 21.562
210 0.810 0.498 27.709
215 0.830 0.753 27.913
220 0.790 0.860 28.026
225 0.850 0.794 25.867
230 0.770 1.714 25.269
235 0.790 1.824 22.832
240 0.830 1.055 22.925
245 0.740 0.597 25.050
250 0.710 0.514 23.971
255 0.730 0.766 20.667
260 0.630 0.567 16.376
265 0.580 0.456 16.612
270 0.550 0.489 8.601
275 0.500 0.068 6.203
280 0.600 0.033 5.939
285 0.540 0.073 7.265
290 0.530 0.201 8.600
295 0.590 0.574 11.860
300 0.610 0.442 12.163
305 0.610 0.374 11.226
310 0.680 0.288 9.323
315 0.680 0.454 8.503
320 0.680 0.424 10.227
325 0.770 0.364 9.402
330 0.750 0.479 12.451
335 0.750 0.430 11.554
340 0.670 0.355 10.459
345 0.680 0.365 8.414
350 0.670 0.438 6.969
355 0.610 0.176 3.745
