 Wd pai   fai   zH
  0 0.900 0.251 12.897
  5 0.960 0.683 15.053
 10 0.940 0.740 17.757
 15 0.940 0.700 19.203
 20 0.910 0.633 21.223
 25 0.960 0.652 21.638
 30 0.950 0.716 21.347
 35 0.930 0.804 20.396
 40 0.890 0.748 19.459
 45 0.830 0.762 19.342
 50 0.840 0.866 17.411
 55 0.860 0.901 17.863
 60 0.890 0.874 17.039
 65 0.950 0.621 15.418
 70 0.930 0.276 17.774
 75 0.950 0.230 17.845
 80 0.950 0.189 16.607
 85 0.930 0.168 16.057
 90 0.940 0.234 15.813
 95 0.940 0.223 14.727
100 0.940 0.261 15.038
105 0.920 0.405 14.848
110 0.800 0.285 15.065
115 0.800 0.340 14.625
120 0.810 0.347 15.902
125 0.850 0.294 16.178
130 0.870 0.288 17.327
135 0.880 0.332 17.874
140 0.900 0.297 16.996
145 0.890 0.406 15.534
150 0.870 0.612 13.140
155 0.790 0.423 11.216
160 0.780 0.133 9.343
165 0.770 0.180 9.648
170 0.870 0.295 9.435
175 0.860 0.300 10.909
180 0.920 0.602 13.485
185 0.950 0.432 15.991
190 0.950 0.322 18.777
195 0.950 0.430 19.094
200 0.940 0.334 20.392
205 0.960 0.368 21.428
210 0.940 0.331 21.315
215 0.930 0.349 20.931
220 0.890 0.313 19.638
225 0.870 0.073 18.474
230 0.820 0.073 17.972
235 0.870 0.342 16.527
240 0.890 0.361 16.344
245 0.920 0.473 15.435
250 0.940 0.437 17.249
255 0.940 0.413 17.765
260 0.950 0.390 16.977
265 0.940 0.388 16.020
270 0.950 0.366 15.686
275 0.940 0.366 14.684
280 0.940 0.359 15.039
285 0.860 0.652 15.034
290 0.770 0.617 15.098
295 0.780 0.460 15.549
300 0.820 0.478 16.369
305 0.860 0.496 16.601
310 0.880 0.538 17.220
315 0.920 0.453 17.212
320 0.890 0.736 17.075
325 0.890 0.757 16.076
330 0.840 0.767 14.397
335 0.830 0.528 10.797
340 0.790 0.240 9.044
345 0.820 0.156 8.697
350 0.790 0.181 10.307
355 0.880 0.206 10.179
