 Wd pai   fai   zH
  0 0.650 0.109 3.683
  5 0.610 0.124 3.769
 10 0.640 0.128 3.549
 15 0.580 0.142 4.076
 20 0.650 0.152 3.536
 25 0.630 0.195 3.859
 30 0.640 0.186 3.975
 35 0.650 0.160 3.728
 40 0.590 0.183 4.360
 45 0.580 0.159 4.345
 50 0.620 0.123 4.095
 55 0.670 0.218 4.299
 60 0.710 0.294 5.466
 65 0.690 0.330 7.770
 70 0.740 0.359 9.215
 75 0.710 0.353 11.861
 80 0.740 0.462 13.099
 85 0.730 0.412 13.487
 90 0.730 0.395 10.841
 95 0.650 0.313 6.860
100 0.650 0.489 4.656
105 0.700 0.125 3.796
110 0.790 0.093 4.986
115 0.770 0.098 5.006
120 0.780 0.101 4.999
125 0.730 0.189 6.308
130 0.820 0.346 8.220
135 0.840 0.357 9.193
140 0.850 0.324 9.336
145 0.870 0.401 9.847
150 0.890 0.298 9.844
155 0.830 0.350 9.938
160 0.840 0.445 8.498
165 0.770 0.396 7.222
170 0.650 0.371 6.706
175 0.660 0.231 4.139
180 0.630 0.119 3.805
185 0.590 0.145 3.908
190 0.610 0.130 3.768
195 0.640 0.126 3.636
200 0.630 0.108 3.542
205 0.640 0.138 3.558
210 0.640 0.222 4.189
215 0.640 0.206 3.996
220 0.610 0.179 4.245
225 0.650 0.146 3.849
230 0.690 0.114 3.829
235 0.640 0.146 4.075
240 0.680 0.638 4.976
245 0.690 0.817 8.135
250 0.670 0.765 10.619
255 0.730 0.792 11.743
260 0.730 0.810 12.751
265 0.760 0.756 12.393
270 0.720 0.699 11.394
275 0.670 0.776 5.541
280 0.680 0.240 2.888
285 0.660 0.141 3.430
290 0.620 0.263 6.126
295 0.710 0.248 5.303
300 0.750 0.186 5.134
305 0.820 0.205 5.639
310 0.800 0.266 8.259
315 0.810 0.329 9.682
320 0.820 0.291 9.991
325 0.860 0.143 9.905
330 0.830 0.148 10.209
335 0.830 0.127 9.597
340 0.760 0.381 8.568
345 0.690 0.417 7.708
350 0.710 0.323 5.426
355 0.600 0.097 4.084
