 Wd pai   fai   zH
  0 0.900 1.021 30.771
  5 0.930 0.981 27.176
 10 0.920 1.094 25.788
 15 0.910 1.033 26.254
 20 0.900 0.983 25.523
 25 0.930 0.926 25.735
 30 0.920 0.903 26.105
 35 0.910 0.905 25.477
 40 0.940 0.946 25.913
 45 0.930 0.878 27.038
 50 0.900 0.682 26.455
 55 0.920 0.805 24.668
 60 0.890 0.588 26.014
 65 0.890 0.811 27.425
 70 0.920 0.414 27.539
 75 0.910 0.463 28.809
 80 0.910 0.419 28.686
 85 0.930 0.463 28.316
 90 0.920 0.516 32.362
 95 0.930 0.452 28.829
100 0.940 0.432 28.396
105 0.940 0.448 29.322
110 0.930 0.414 28.547
115 0.930 0.755 27.642
120 0.950 0.636 25.965
125 0.940 0.796 24.381
130 0.880 0.991 24.362
135 0.860 1.049 24.051
140 0.850 1.235 22.389
145 0.810 1.282 23.421
150 0.850 1.304 22.743
155 0.860 0.976 23.419
160 0.910 0.790 24.301
165 0.900 0.608 28.364
170 0.920 0.495 27.965
175 0.890 0.580 28.611
180 0.930 0.908 30.517
185 0.930 1.173 26.827
190 0.920 1.218 24.918
195 0.920 1.198 25.783
200 0.900 1.118 25.885
205 0.910 1.035 26.388
210 0.920 0.922 26.306
215 0.930 0.767 25.232
220 0.920 0.954 26.442
225 0.920 0.723 27.812
230 0.900 0.780 26.091
235 0.840 0.633 26.298
240 0.900 0.499 26.153
245 0.890 0.481 27.339
250 0.920 0.498 27.315
255 0.910 0.421 28.917
260 0.910 0.469 28.834
265 0.940 0.406 28.170
270 0.930 0.471 32.132
275 0.930 0.400 28.822
280 0.940 0.413 28.370
285 0.920 0.422 29.973
290 0.930 0.502 28.416
295 0.930 0.623 29.255
300 0.950 0.811 26.766
305 0.920 0.620 25.926
310 0.900 0.870 25.205
315 0.850 1.023 25.314
320 0.830 1.031 23.288
325 0.830 1.349 22.713
330 0.820 1.499 22.565
335 0.810 1.294 24.627
340 0.830 1.254 26.150
345 0.880 0.991 28.516
350 0.880 0.987 28.666
355 0.910 0.922 27.308
