 Wd pai   fai   zH
  0 0.640 0.402 9.636
  5 0.640 0.321 9.326
 10 0.680 0.351 9.378
 15 0.670 0.412 9.646
 20 0.670 0.430 9.739
 25 0.680 0.345 9.490
 30 0.690 0.296 9.550
 35 0.680 0.328 9.297
 40 0.680 0.206 10.183
 45 0.680 0.450 9.445
 50 0.640 0.372 5.901
 55 0.680 0.372 4.113
 60 0.720 0.251 4.827
 65 0.780 0.199 5.097
 70 0.670 0.187 6.075
 75 0.770 0.293 7.270
 80 0.760 0.258 9.122
 85 0.720 0.137 10.726
 90 0.760 0.275 11.347
 95 0.670 0.170 10.608
100 0.600 0.102 11.770
105 0.640 0.296 11.575
110 0.720 0.196 10.623
115 0.590 0.473 5.088
120 0.560 0.346 6.633
125 0.590 0.273 5.633
130 0.590 0.285 5.280
135 0.580 0.324 4.968
140 0.570 0.325 4.619
145 0.540 0.357 3.986
150 0.580 0.363 3.628
155 0.620 0.267 4.337
160 0.640 0.320 5.446
165 0.630 0.308 6.257
170 0.650 0.301 6.504
175 0.650 0.425 7.095
180 0.660 0.417 9.515
185 0.650 0.327 8.586
190 0.670 0.518 9.180
195 0.670 0.421 9.792
200 0.680 0.464 10.080
205 0.680 0.373 9.493
210 0.670 0.416 9.578
215 0.710 0.395 9.182
220 0.730 0.420 9.884
225 0.730 0.410 9.664
230 0.670 0.438 6.727
235 0.690 0.458 4.808
240 0.720 0.180 4.772
245 0.740 0.103 5.422
250 0.840 0.108 4.841
255 0.770 0.834 6.838
260 0.740 0.789 8.514
265 0.750 0.792 9.618
270 0.610 0.880 12.622
275 0.540 0.777 12.070
280 0.610 0.811 11.253
285 0.600 0.764 11.881
290 0.530 0.803 14.230
295 0.660 0.721 8.923
300 0.640 0.096 6.200
305 0.530 0.000 6.137
310 0.490 0.000 6.088
315 0.470 0.000 5.559
320 0.560 0.060 4.124
325 0.580 0.082 3.150
330 0.600 0.103 3.621
335 0.600 0.071 4.948
340 0.630 0.073 5.584
345 0.640 0.078 6.188
350 0.640 0.112 6.820
355 0.630 0.373 7.525
