 Wd pai   fai   zH
  0 0.630 0.315 10.292
  5 0.610 0.291 10.477
 10 0.610 0.289 10.171
 15 0.620 0.357 10.097
 20 0.600 0.404 10.678
 25 0.600 0.454 10.900
 30 0.630 0.329 10.027
 35 0.600 0.316 11.004
 40 0.610 0.284 10.707
 45 0.630 0.326 11.502
 50 0.680 0.345 10.721
 55 0.600 0.317 13.410
 60 0.670 0.368 12.984
 65 0.690 0.352 13.898
 70 0.710 0.376 14.864
 75 0.690 0.473 17.456
 80 0.730 0.418 18.975
 85 0.740 0.383 21.116
 90 0.730 0.382 21.966
 95 0.770 0.436 20.392
100 0.760 0.547 20.469
105 0.800 0.935 19.211
110 0.930 2.780 17.849
115 0.820 0.703 21.577
120 0.790 0.509 22.242
125 0.750 0.447 23.585
130 0.780 0.434 22.029
135 0.710 0.831 20.575
140 0.700 0.389 17.540
145 0.700 0.422 14.906
150 0.730 0.355 12.865
155 0.620 0.393 14.038
160 0.600 0.340 13.453
165 0.570 0.362 12.982
170 0.610 0.322 11.583
175 0.670 0.320 9.931
180 0.600 0.331 10.889
185 0.590 0.361 10.603
190 0.590 0.322 10.461
195 0.600 0.377 10.421
200 0.590 0.447 10.490
205 0.650 0.374 9.845
210 0.590 0.337 10.838
215 0.660 0.327 9.916
220 0.580 0.352 11.963
225 0.560 0.324 12.792
230 0.610 0.359 12.344
235 0.610 0.339 13.094
240 0.620 0.359 14.167
245 0.570 0.358 16.692
250 0.640 0.327 16.551
255 0.700 0.325 17.064
260 0.750 0.275 18.125
265 0.750 0.091 20.128
270 0.720 0.179 21.022
275 0.720 0.193 19.964
280 0.720 0.229 18.859
285 0.680 0.568 15.981
290 0.570 1.397 9.583
295 0.750 0.760 18.796
300 0.770 0.526 20.519
305 0.740 0.477 22.349
310 0.780 0.457 20.919
315 0.740 0.442 20.057
320 0.730 0.343 16.393
325 0.650 0.332 16.737
330 0.630 0.405 15.129
335 0.650 0.315 13.298
340 0.670 0.319 11.980
345 0.730 0.334 10.617
350 0.630 0.333 11.339
355 0.600 0.332 11.694
