 Wd pai   fai   zH
  0 0.630 0.424 11.500
  5 0.610 0.322 8.651
 10 0.630 0.294 8.532
 15 0.630 0.417 10.893
 20 0.640 1.325 32.450
 25 0.570 0.547 15.393
 30 0.600 0.320 10.227
 35 0.640 0.244 8.731
 40 0.590 0.270 10.060
 45 0.570 0.242 10.553
 50 0.640 0.302 9.714
 55 0.640 0.298 10.030
 60 0.640 0.236 11.014
 65 0.730 0.282 10.308
 70 0.710 0.296 11.713
 75 0.670 0.062 13.065
 80 0.680 0.044 12.179
 85 0.630 0.023 12.300
 90 0.620 0.023 10.829
 95 0.620 0.000 5.044
100 0.490 0.000 0.006
105 0.440 0.000 0.000
110 0.540 0.000 0.000
115 0.480 0.000 0.005
120 0.530 0.302 1.107
125 0.690 0.411 6.826
130 0.570 0.390 12.326
135 0.650 0.384 12.449
140 0.740 0.378 12.079
145 0.720 0.340 13.881
150 0.730 0.332 13.100
155 0.680 0.371 11.805
160 0.690 0.450 11.271
165 0.690 0.406 10.879
170 0.710 0.311 9.812
175 0.700 0.315 10.288
180 0.670 0.351 10.241
185 0.610 0.301 8.466
190 0.610 0.371 8.864
195 0.590 0.585 11.783
200 0.610 1.450 32.996
205 0.580 0.581 15.315
210 0.600 0.327 10.153
215 0.630 0.312 9.048
220 0.640 0.321 9.181
225 0.580 0.321 10.638
230 0.590 0.313 10.745
235 0.670 0.323 9.880
240 0.620 0.362 11.357
245 0.610 0.276 12.181
250 0.680 0.268 12.616
255 0.680 0.319 13.652
260 0.680 0.378 12.552
265 0.700 0.337 12.013
270 0.670 0.375 11.341
275 0.560 0.253 7.583
280 0.540 0.053 0.293
285 0.530 0.000 0.001
290 0.520 0.000 0.000
295 0.550 0.000 0.011
300 0.590 0.164 3.378
305 0.620 0.033 9.236
310 0.700 0.054 10.953
315 0.650 0.025 13.177
320 0.640 0.023 14.236
325 0.680 0.531 14.362
330 0.730 0.600 13.141
335 0.660 0.465 12.606
340 0.680 0.507 11.276
345 0.710 0.347 10.433
350 0.690 0.374 9.883
355 0.700 0.359 10.275
