 Wd pai   fai   zH
  0 0.860 1.441 42.902
  5 0.880 1.673 34.436
 10 0.800 1.521 31.305
 15 0.720 0.882 16.806
 20 0.700 0.421 16.672
 25 0.690 0.384 16.232
 30 0.680 0.486 16.424
 35 0.630 0.489 14.644
 40 0.690 0.607 12.202
 45 0.650 0.765 11.904
 50 0.690 0.749 9.720
 55 0.730 0.620 6.996
 60 0.670 0.219 5.729
 65 0.610 0.240 5.251
 70 0.640 0.157 5.027
 75 0.600 0.186 5.274
 80 0.730 0.541 6.231
 85 0.720 0.649 10.783
 90 0.720 0.749 14.358
 95 0.660 0.564 13.574
100 0.580 0.591 14.289
105 0.630 1.387 9.392
110 0.670 1.181 21.199
115 0.720 1.233 28.194
120 0.800 1.232 28.725
125 0.770 1.185 30.788
130 0.770 1.052 31.985
135 0.830 1.163 31.425
140 0.890 0.998 30.562
145 0.900 1.160 31.619
150 0.880 1.113 34.306
155 0.880 1.029 36.290
160 0.930 1.258 37.542
165 0.920 0.912 39.947
170 0.900 0.989 41.655
175 0.920 1.015 42.745
180 0.920 1.647 42.817
185 0.850 1.549 38.961
190 0.840 1.908 33.675
195 0.750 2.029 21.745
200 0.640 0.395 18.225
205 0.670 0.479 16.426
210 0.610 0.782 15.439
215 0.610 0.779 13.755
220 0.660 0.825 11.144
225 0.660 0.871 9.934
230 0.700 0.867 8.717
235 0.630 0.583 6.989
240 0.640 0.557 6.050
245 0.700 0.215 4.558
250 0.720 0.251 4.680
255 0.730 0.381 5.191
260 0.730 0.655 8.555
265 0.700 0.609 12.084
270 0.750 0.246 15.016
275 0.650 0.381 14.986
280 0.710 0.625 15.094
285 0.630 0.887 16.380
290 0.700 1.235 24.287
295 0.730 1.209 27.060
300 0.770 1.140 29.280
305 0.780 1.128 30.196
310 0.780 1.100 30.922
315 0.850 1.191 30.176
320 0.870 1.393 30.934
325 0.860 1.492 32.174
330 0.850 1.260 34.316
335 0.890 1.420 36.142
340 0.910 1.256 39.503
345 0.890 1.196 41.145
350 0.860 1.607 42.902
355 0.860 1.743 43.400
