 Wd pai   fai   zH
  0 0.800 0.790 11.844
  5 0.860 0.594 11.122
 10 0.840 0.390 10.548
 15 0.860 0.475 11.557
 20 0.850 0.652 11.171
 25 0.890 0.507 9.467
 30 0.830 0.596 9.538
 35 0.840 0.675 8.417
 40 0.860 0.480 9.654
 45 0.850 0.542 10.185
 50 0.800 0.473 11.508
 55 0.770 0.705 11.556
 60 0.830 0.498 11.629
 65 0.890 0.613 12.404
 70 0.920 0.741 16.761
 75 0.910 0.286 18.564
 80 0.900 0.350 17.612
 85 0.860 0.350 18.247
 90 0.840 0.350 20.098
 95 0.820 0.375 18.606
100 0.790 0.322 17.085
105 0.780 0.342 17.269
110 0.770 0.305 15.743
115 0.820 0.625 16.548
120 0.830 0.504 15.084
125 0.780 0.356 13.236
130 0.720 0.388 11.454
135 0.860 0.345 12.386
140 0.820 0.408 12.217
145 0.810 0.535 11.773
150 0.790 0.695 10.401
155 0.830 0.383 12.461
160 0.790 0.441 12.233
165 0.810 0.408 10.628
170 0.830 0.352 9.133
175 0.740 0.509 10.281
180 0.820 0.704 11.252
185 0.860 0.662 11.146
190 0.880 0.504 10.963
195 0.860 0.480 12.259
200 0.870 0.365 10.883
205 0.820 0.453 9.939
210 0.870 0.409 9.769
215 0.870 0.410 9.683
220 0.880 0.197 10.693
225 0.850 0.510 10.458
230 0.880 0.551 10.217
235 0.830 0.725 11.116
240 0.820 0.653 11.801
245 0.820 0.564 12.304
250 0.870 0.974 14.989
255 0.900 0.674 18.060
260 0.870 0.643 17.720
265 0.840 0.611 18.208
270 0.820 0.678 20.016
275 0.830 0.649 17.766
280 0.820 0.657 16.018
285 0.840 0.731 15.577
290 0.790 0.754 15.603
295 0.810 0.639 16.846
300 0.800 0.712 15.622
305 0.750 0.644 13.158
310 0.840 0.712 12.374
315 0.920 0.812 14.458
320 0.900 0.931 13.741
325 0.790 0.826 10.836
330 0.760 0.783 10.634
335 0.810 0.671 12.650
340 0.780 0.670 12.746
345 0.730 0.708 11.979
350 0.700 0.543 10.840
355 0.770 0.580 9.291
