 Wd pai   fai   zH
  0 0.730 0.250 6.888
  5 0.800 0.910 8.901
 10 0.840 1.005 11.832
 15 0.800 1.173 13.671
 20 0.760 1.172 15.199
 25 0.860 1.105 16.377
 30 0.810 1.099 19.324
 35 0.850 1.110 20.137
 40 0.870 1.157 21.744
 45 0.870 0.971 28.534
 50 0.840 0.974 31.593
 55 0.870 1.108 33.392
 60 0.890 0.967 33.557
 65 0.800 1.264 35.435
 70 0.830 1.314 34.310
 75 0.820 1.133 38.184
 80 0.820 0.866 37.543
 85 0.790 0.763 39.541
 90 0.830 0.709 40.282
 95 0.800 0.404 38.896
100 0.800 0.695 39.022
105 0.810 0.591 36.914
110 0.800 0.474 35.169
115 0.810 0.638 34.090
120 0.860 0.526 31.129
125 0.840 0.739 29.259
130 0.850 1.150 23.756
135 0.730 0.992 21.000
140 0.670 1.053 19.166
145 0.740 0.855 16.554
150 0.650 1.857 10.313
155 0.570 0.461 3.020
160 0.630 0.520 2.988
165 0.670 0.654 4.674
170 0.710 0.722 6.239
175 0.740 0.717 7.558
180 0.780 0.930 8.713
185 0.790 0.797 10.058
190 0.810 1.183 13.376
195 0.840 1.209 13.893
200 0.750 1.064 16.124
205 0.770 1.190 18.724
210 0.810 1.214 20.437
215 0.850 1.309 21.274
220 0.840 1.297 25.986
225 0.870 0.805 26.511
230 0.880 0.965 29.835
235 0.940 1.022 29.206
240 0.900 1.070 32.530
245 0.820 1.238 31.088
250 0.750 1.161 34.865
255 0.810 1.269 35.510
260 0.790 1.553 37.829
265 0.810 1.600 37.325
270 0.810 1.603 41.250
275 0.810 1.450 38.191
280 0.800 1.315 39.098
285 0.820 1.278 37.760
290 0.850 1.327 34.070
295 0.860 1.314 33.455
300 0.840 1.246 31.658
305 0.750 1.249 29.758
310 0.750 1.107 23.538
315 0.680 0.853 17.380
320 0.760 0.894 16.467
325 0.720 0.753 16.896
330 0.720 0.987 15.056
335 0.560 0.339 2.546
340 0.540 0.122 2.150
345 0.610 0.238 3.292
350 0.660 0.298 4.586
355 0.690 0.412 6.079
