 Wd pai   fai   zH
  0 0.900 0.478 14.263
  5 0.910 0.426 12.237
 10 0.900 0.738 12.243
 15 0.870 0.853 13.016
 20 0.880 0.592 13.305
 25 0.870 0.679 14.256
 30 0.890 0.684 13.010
 35 0.890 0.638 11.076
 40 0.900 0.654 11.574
 45 0.930 0.577 10.375
 50 0.860 0.577 11.314
 55 0.830 0.544 10.545
 60 0.770 0.556 8.044
 65 0.740 0.133 7.361
 70 0.820 0.208 7.449
 75 0.820 0.184 8.741
 80 0.720 0.257 7.812
 85 0.700 0.208 7.333
 90 0.690 0.310 7.529
 95 0.720 0.354 6.744
100 0.780 0.498 8.057
105 0.750 0.522 10.008
110 0.810 0.549 10.162
115 0.870 0.742 11.889
120 0.900 0.772 12.559
125 0.900 0.886 12.667
130 0.940 0.801 13.988
135 0.900 0.722 14.361
140 0.910 0.759 12.428
145 0.840 1.052 12.438
150 0.800 0.983 10.207
155 0.800 1.116 9.543
160 0.810 0.983 7.615
165 0.910 0.704 8.117
170 0.900 0.509 10.098
175 0.910 0.705 11.486
180 0.920 0.643 13.950
185 0.910 0.589 12.347
190 0.920 0.863 12.204
195 0.890 0.845 12.661
200 0.880 1.000 13.078
205 0.860 0.973 13.571
210 0.880 0.787 12.980
215 0.880 0.760 11.604
220 0.870 0.476 11.750
225 0.890 0.377 10.770
230 0.880 0.386 10.805
235 0.810 0.436 10.543
240 0.760 0.302 8.140
245 0.780 0.260 8.079
250 0.850 0.171 8.900
255 0.840 0.184 9.127
260 0.790 0.239 8.555
265 0.750 0.219 7.518
270 0.690 0.312 8.411
275 0.720 0.261 6.902
280 0.770 0.482 7.933
285 0.800 0.506 9.518
290 0.840 0.705 9.612
295 0.830 0.685 12.092
300 0.910 0.785 12.198
305 0.910 0.687 12.861
310 0.890 0.720 14.622
315 0.900 0.491 13.933
320 0.860 0.530 12.664
325 0.850 1.186 11.876
330 0.830 1.305 10.467
335 0.750 0.952 9.051
340 0.880 0.729 7.826
345 0.840 0.621 8.077
350 0.840 0.688 10.197
355 0.920 0.554 12.506
