 Wd pai   fai   zH
  0 0.740 0.374 20.675
  5 0.800 0.538 19.758
 10 0.690 0.798 11.839
 15 0.710 0.577 9.382
 20 0.680 0.508 9.623
 25 0.700 0.406 9.187
 30 0.640 0.532 10.522
 35 0.650 0.598 9.920
 40 0.710 1.086 11.135
 45 0.720 0.899 12.937
 50 0.660 0.829 15.830
 55 0.670 0.861 15.153
 60 0.680 0.733 14.143
 65 0.630 0.703 13.454
 70 0.610 0.296 11.152
 75 0.680 0.406 10.553
 80 0.580 0.338 13.589
 85 0.630 0.334 13.539
 90 0.700 0.728 22.858
 95 0.830 0.744 24.473
100 0.860 0.770 27.722
105 0.860 0.802 29.332
110 0.870 0.803 29.684
115 0.870 0.634 29.473
120 0.870 0.529 29.388
125 0.820 0.525 29.845
130 0.860 1.022 26.628
135 0.870 1.327 24.360
140 0.820 0.738 25.636
145 0.820 1.018 24.869
150 0.820 0.923 23.402
155 0.800 0.757 21.605
160 0.760 0.000 20.654
165 0.680 0.000 22.724
170 0.740 0.000 20.868
175 0.720 0.000 20.995
180 0.750 0.000 18.992
185 0.790 0.611 14.367
190 0.660 0.624 6.650
195 0.610 0.541 6.882
200 0.650 0.553 6.625
205 0.570 0.641 7.274
210 0.660 0.627 7.337
215 0.640 0.869 8.140
220 0.690 0.842 11.162
225 0.660 0.580 13.121
230 0.740 0.605 12.915
235 0.620 0.561 15.083
240 0.680 0.437 12.597
245 0.620 0.398 11.801
250 0.620 0.359 9.977
255 0.580 0.326 11.476
260 0.690 0.378 10.546
265 0.690 0.545 12.907
270 0.780 0.694 21.393
275 0.790 0.456 25.356
280 0.830 0.469 27.675
285 0.860 0.346 29.297
290 0.870 0.371 29.394
295 0.880 0.397 28.759
300 0.870 0.374 29.071
305 0.850 0.379 28.693
310 0.890 0.525 26.528
315 0.810 0.736 26.423
320 0.850 0.680 24.451
325 0.800 0.939 25.192
330 0.810 0.599 23.684
335 0.760 0.692 23.066
340 0.790 0.331 20.277
345 0.810 0.309 19.648
350 0.780 0.363 20.267
355 0.780 0.368 20.054
