 Wd pai   fai   zH
  0 0.810 0.161 10.914
  5 0.830 0.510 10.336
 10 0.850 0.204 10.967
 15 0.830 0.401 10.503
 20 0.840 0.184 11.032
 25 0.810 0.584 10.287
 30 0.810 0.251 10.739
 35 0.790 0.737 11.728
 40 0.810 0.727 13.673
 45 0.820 0.838 13.065
 50 0.720 0.712 13.129
 55 0.770 0.737 12.087
 60 0.720 0.817 10.324
 65 0.720 0.616 7.488
 70 0.730 0.922 10.678
 75 0.820 0.986 12.109
 80 0.900 0.845 15.363
 85 0.930 0.563 17.501
 90 0.940 0.498 18.874
 95 0.960 0.549 18.582
100 0.940 0.709 19.629
105 0.930 0.934 14.968
110 0.750 0.645 15.641
115 0.850 0.655 13.664
120 0.850 0.746 13.907
125 0.890 0.787 14.066
130 0.890 0.614 14.924
135 0.880 0.640 14.024
140 0.850 0.655 12.179
145 0.930 0.836 12.078
150 0.940 0.823 12.122
155 0.870 0.561 10.821
160 0.830 0.695 10.393
165 0.860 0.424 10.252
170 0.870 0.412 9.355
175 0.850 0.323 9.522
180 0.840 0.813 9.871
185 0.840 0.658 10.658
190 0.840 0.762 10.844
195 0.830 0.703 11.318
200 0.850 0.787 11.062
205 0.830 0.916 10.995
210 0.810 1.033 10.409
215 0.790 0.907 12.731
220 0.770 0.805 14.403
225 0.800 0.455 12.595
230 0.780 0.330 11.514
235 0.750 0.466 11.640
240 0.710 0.824 9.343
245 0.680 0.360 7.154
250 0.770 0.748 9.315
255 0.810 0.690 12.307
260 0.860 0.733 15.763
265 0.940 0.682 17.618
270 0.960 0.775 19.085
275 0.970 0.601 19.028
280 0.970 0.823 19.706
285 0.980 0.910 18.304
290 0.890 0.253 13.821
295 0.840 0.350 14.224
300 0.860 0.169 14.559
305 0.880 0.344 14.050
310 0.870 0.533 15.319
315 0.860 0.645 14.332
320 0.820 0.717 10.851
325 0.900 0.789 11.778
330 0.910 1.083 11.283
335 0.870 0.634 10.507
340 0.870 0.552 10.346
345 0.850 0.574 10.190
350 0.800 0.511 10.381
355 0.820 0.338 9.771
