 Wd pai   fai   zH
  0 0.970 0.424 22.722
  5 0.980 0.390 21.657
 10 0.980 0.355 20.858
 15 0.970 0.422 20.074
 20 0.940 0.506 20.295
 25 0.760 0.529 14.632
 30 0.630 0.358 13.325
 35 0.580 0.395 12.196
 40 0.690 0.407 10.096
 45 0.630 0.343 11.347
 50 0.660 0.385 11.351
 55 0.560 0.351 14.837
 60 0.700 0.370 12.321
 65 0.720 0.421 13.693
 70 0.670 0.399 16.318
 75 0.800 0.445 15.214
 80 0.750 0.450 17.743
 85 0.820 0.476 17.139
 90 0.770 0.469 20.007
 95 0.810 0.418 21.847
100 0.830 0.410 27.032
105 0.860 0.413 26.649
110 0.820 0.457 28.191
115 0.840 0.521 27.608
120 0.840 0.498 27.271
125 0.800 0.526 24.929
130 0.810 0.463 21.508
135 0.790 0.521 20.476
140 0.750 0.534 20.299
145 0.810 0.490 18.615
150 0.780 0.443 19.182
155 0.770 0.383 19.167
160 0.870 0.363 17.900
165 0.830 0.376 20.077
170 0.900 0.395 20.998
175 0.960 0.401 21.912
180 0.990 0.143 22.771
185 0.990 0.129 21.761
190 0.980 0.173 20.913
195 0.930 0.086 20.279
200 0.950 0.747 19.219
205 0.790 0.546 11.631
210 0.670 0.592 10.834
215 0.630 0.632 11.362
220 0.610 0.568 11.744
225 0.640 0.360 11.351
230 0.650 0.315 11.967
235 0.650 0.347 12.506
240 0.640 0.331 13.801
245 0.660 0.364 14.489
250 0.700 0.337 15.444
255 0.740 0.406 16.727
260 0.770 0.472 18.263
265 0.730 0.448 20.281
270 0.760 0.396 21.242
275 0.840 0.477 23.053
280 0.860 0.054 26.306
285 0.840 0.052 27.301
290 0.850 0.134 27.199
295 0.890 0.058 25.948
300 0.840 0.130 27.092
305 0.780 0.481 23.958
310 0.750 0.499 21.330
315 0.810 0.484 18.650
320 0.780 0.551 18.618
325 0.780 0.466 18.907
330 0.830 0.441 17.647
335 0.840 0.432 17.391
340 0.780 0.426 19.279
345 0.880 0.426 18.441
350 0.900 0.424 20.185
355 0.990 0.407 20.431
