 Wd pai   fai   zH
  0 0.950 0.127 12.677
  5 0.930 0.000 12.639
 10 0.930 0.033 12.283
 15 0.880 0.128 11.397
 20 0.830 0.142 10.452
 25 0.840 0.234 9.491
 30 0.780 0.350 7.161
 35 0.850 0.470 7.681
 40 0.870 0.490 8.256
 45 0.760 0.385 8.118
 50 0.790 0.220 8.564
 55 0.780 0.161 9.360
 60 0.750 0.144 9.198
 65 0.750 0.350 7.755
 70 0.660 0.964 9.611
 75 0.750 1.037 14.862
 80 0.840 0.792 17.933
 85 0.900 0.841 19.681
 90 0.900 1.071 23.815
 95 0.900 0.998 23.273
100 0.900 1.168 20.274
105 0.910 0.485 16.771
110 0.770 0.814 13.939
115 0.840 0.540 13.868
120 0.810 0.630 15.413
125 0.830 0.544 14.667
130 0.750 0.574 15.320
135 0.780 0.578 13.848
140 0.760 0.569 12.961
145 0.760 0.684 11.192
150 0.700 0.363 8.969
155 0.720 0.208 9.337
160 0.730 0.278 9.753
165 0.780 0.246 8.433
170 0.720 0.234 9.013
175 0.780 0.414 8.445
180 0.780 0.320 13.569
185 0.910 0.374 12.511
190 0.930 0.194 12.571
195 0.910 0.298 11.563
200 0.880 0.261 10.154
205 0.810 0.414 9.093
210 0.760 0.436 6.794
215 0.870 0.286 6.808
220 0.820 0.490 7.260
225 0.690 0.445 7.864
230 0.710 0.393 8.830
235 0.800 0.351 8.932
240 0.750 0.421 9.284
245 0.770 0.420 8.174
250 0.800 0.540 9.336
255 0.750 0.161 16.371
260 0.840 0.356 18.105
265 0.890 0.343 20.297
270 0.900 0.217 23.843
275 0.910 0.311 22.665
280 0.900 0.412 18.918
285 0.910 0.574 15.682
290 0.920 0.842 13.753
295 0.810 0.786 14.154
300 0.820 0.372 15.264
305 0.850 0.312 14.787
310 0.790 0.168 14.382
315 0.760 0.266 13.315
320 0.770 0.316 11.896
325 0.760 0.348 9.942
330 0.770 0.300 8.202
335 0.740 0.345 9.090
340 0.790 0.205 8.971
345 0.700 0.297 9.995
350 0.810 0.233 8.746
355 0.860 0.326 10.652
