 Wd pai   fai   zH
  0 0.685 0.680 29.236
  5 0.720 0.686 21.616
 10 0.765 0.731 15.028
 15 0.750 0.171 8.343
 20 0.770 0.554 8.344
 25 0.620 0.257 7.935
 30 0.715 0.319 14.032
 35 0.755 0.296 16.363
 40 0.735 0.427 16.579
 45 0.755 0.471 15.633
 50 0.755 0.435 14.306
 55 0.710 0.409 13.559
 60 0.655 0.366 14.629
 65 0.690 0.269 13.834
 70 0.695 0.472 15.052
 75 0.765 0.611 14.063
 80 0.755 0.630 12.407
 85 0.705 0.475 12.141
 90 0.675 0.408 9.388
 95 0.635 0.415 7.575
100 0.650 0.067 9.777
105 0.635 0.055 9.300
110 0.635 0.061 1.623
115 0.515 0.105 0.989
120 0.615 0.167 9.726
125 0.705 0.222 13.308
130 0.735 0.272 11.529
135 0.600 0.254 11.063
140 0.620 0.172 9.042
145 0.565 0.173 8.519
150 0.620 0.393 7.806
155 0.595 0.528 10.767
160 0.570 0.544 14.705
165 0.645 0.570 16.637
170 0.640 0.597 20.271
175 0.695 0.560 25.425
180 0.685 0.603 27.217
185 0.685 0.585 20.651
190 0.715 0.632 12.165
195 0.755 0.297 8.472
200 0.860 0.351 8.703
205 0.655 0.255 7.482
210 0.715 0.448 12.778
215 0.740 0.472 16.098
220 0.795 0.537 16.303
225 0.795 0.357 15.807
230 0.740 0.339 14.770
235 0.680 0.342 14.708
240 0.700 0.499 13.850
245 0.690 0.411 13.955
250 0.700 0.605 15.334
255 0.725 0.440 15.894
260 0.720 0.552 13.166
265 0.715 0.510 11.785
270 0.595 0.400 9.554
275 0.630 0.309 6.912
280 0.625 0.194 10.183
285 0.635 0.193 9.591
290 0.585 0.072 1.772
295 0.580 0.051 2.238
300 0.635 0.136 10.669
305 0.720 0.076 13.701
310 0.720 0.251 11.808
315 0.625 0.220 11.074
320 0.620 0.160 8.938
325 0.585 0.182 8.430
330 0.590 0.157 7.421
335 0.620 0.580 9.377
340 0.635 0.587 12.221
345 0.620 0.575 16.186
350 0.635 0.669 19.374
355 0.645 0.783 25.416
