 Wd pai   fai   zH
  0 0.630 0.695 16.737
  5 0.630 0.315 10.077
 10 0.580 0.410 9.753
 15 0.610 0.651 10.206
 20 0.700 0.360 11.218
 25 0.700 0.452 11.386
 30 0.730 0.400 10.653
 35 0.700 0.388 10.281
 40 0.600 0.343 10.471
 45 0.660 0.338 9.367
 50 0.600 0.375 11.233
 55 0.570 0.328 12.614
 60 0.660 0.370 11.765
 65 0.630 0.311 13.221
 70 0.610 0.358 15.629
 75 0.690 0.331 14.045
 80 0.660 0.354 13.676
 85 0.640 0.396 12.211
 90 0.580 0.348 10.680
 95 0.560 0.302 5.235
100 0.530 0.000 0.026
105 0.470 0.000 0.000
110 0.600 0.000 0.000
115 0.550 0.000 0.000
120 0.520 0.000 0.004
125 0.530 0.346 1.338
130 0.620 0.637 8.327
135 0.660 1.276 16.924
140 0.760 0.959 21.193
145 0.800 1.036 25.304
150 0.810 1.022 28.627
155 0.820 0.963 31.390
160 0.770 0.759 32.556
165 0.780 0.767 29.720
170 0.770 0.636 26.895
175 0.740 0.633 22.145
180 0.690 0.411 13.892
185 0.610 0.370 10.210
190 0.630 0.397 8.888
195 0.790 0.499 9.087
200 0.690 0.350 11.465
205 0.710 0.246 11.275
210 0.720 0.264 10.768
215 0.680 0.457 9.786
220 0.600 0.359 10.489
225 0.630 0.385 9.947
230 0.630 0.316 10.664
235 0.600 0.379 12.002
240 0.660 0.325 11.657
245 0.630 0.308 13.258
250 0.700 0.339 13.657
255 0.630 0.090 14.805
260 0.660 0.022 13.112
265 0.640 0.000 10.959
270 0.610 0.036 8.621
275 0.570 0.000 3.265
280 0.480 0.000 0.003
285 0.470 0.000 0.000
290 0.400 0.000 0.000
295 0.440 0.000 0.000
300 0.510 0.000 0.010
305 0.420 0.000 2.023
310 0.600 0.458 7.356
315 0.700 0.785 17.117
320 0.730 0.762 23.195
325 0.760 0.724 26.904
330 0.790 0.825 29.441
335 0.820 0.392 30.171
340 0.790 0.362 30.651
345 0.850 0.424 26.312
350 0.780 0.352 25.010
355 0.760 0.326 20.207
