 Wd pai   fai   zH
  0 0.380 0.000 0.000
  5 0.470 0.264 1.030
 10 0.550 0.322 7.149
 15 0.600 0.320 6.854
 20 0.620 0.202 6.706
 25 0.600 0.049 7.829
 30 0.660 0.137 7.677
 35 0.630 0.103 8.149
 40 0.620 0.079 7.529
 45 0.610 0.099 7.093
 50 0.660 0.093 6.238
 55 0.640 0.074 5.379
 60 0.630 0.123 4.235
 65 0.660 0.231 2.992
 70 0.570 0.771 6.383
 75 0.630 0.744 8.311
 80 0.630 0.800 10.807
 85 0.630 0.856 13.211
 90 0.640 0.990 16.777
 95 0.760 0.871 15.230
100 0.800 0.796 15.541
105 0.830 0.764 15.449
110 0.770 0.739 16.757
115 0.830 0.764 15.028
120 0.650 1.235 6.880
125 0.510 0.172 1.715
130 0.550 0.069 1.124
135 0.480 0.088 1.091
140 0.480 0.073 0.951
145 0.540 0.181 1.382
150 0.570 0.161 0.729
155 0.520 0.070 0.515
160 0.500 0.074 0.404
165 0.510 0.039 0.171
170 0.490 0.000 0.014
175 0.480 0.000 0.001
180 0.490 0.000 0.000
185 0.540 0.000 0.055
190 0.570 0.285 6.846
195 0.540 0.275 7.523
200 0.570 0.295 7.319
205 0.590 0.341 8.044
210 0.600 0.288 8.072
215 0.640 0.384 7.665
220 0.640 0.381 7.205
225 0.600 0.382 7.365
230 0.590 0.386 6.843
235 0.650 0.364 5.269
240 0.630 0.322 4.479
245 0.580 0.397 5.125
250 0.650 0.139 6.575
255 0.620 0.195 8.965
260 0.570 0.113 12.051
265 0.650 0.197 13.178
270 0.660 0.195 15.540
275 0.720 0.299 15.855
280 0.780 0.300 15.525
285 0.800 0.229 16.051
290 0.810 0.241 15.844
295 0.780 0.313 15.889
300 0.650 0.553 3.923
305 0.560 0.277 2.631
310 0.530 0.074 1.220
315 0.490 0.074 1.305
320 0.630 0.073 1.101
325 0.600 0.065 1.448
330 0.520 0.078 0.983
335 0.520 0.067 0.811
340 0.550 0.066 0.692
345 0.510 0.062 0.644
350 0.520 0.038 0.514
355 0.520 0.000 0.242
