 Wd pai   fai   zH
  0 0.680 0.234 9.283
  5 0.740 0.366 10.550
 10 0.810 0.290 10.545
 15 0.720 0.388 11.389
 20 0.800 1.062 13.440
 25 0.820 0.576 19.677
 30 0.860 0.376 21.129
 35 0.850 0.234 23.063
 40 0.910 0.222 22.243
 45 0.870 0.210 23.583
 50 0.930 0.338 22.689
 55 0.910 0.322 23.379
 60 0.920 0.420 22.938
 65 0.930 0.416 23.192
 70 0.880 0.694 23.566
 75 0.900 0.659 23.029
 80 0.890 0.308 21.826
 85 0.920 0.229 22.855
 90 0.910 0.518 22.016
 95 0.840 0.242 22.355
100 0.770 0.499 21.765
105 0.770 0.413 19.151
110 0.790 0.696 17.703
115 0.730 0.757 17.360
120 0.780 0.756 18.902
125 0.800 0.831 19.943
130 0.790 0.748 17.242
135 0.750 0.612 14.991
140 0.690 0.693 9.900
145 0.660 0.147 6.354
150 0.620 0.024 7.752
155 0.630 0.176 5.978
160 0.620 0.388 3.182
165 0.550 0.307 4.403
170 0.600 0.329 6.454
175 0.680 0.345 8.628
180 0.750 0.335 9.769
185 0.740 0.342 11.060
190 0.650 0.303 13.201
195 0.750 0.288 10.661
200 0.720 0.899 13.641
205 0.870 1.028 17.005
210 0.830 0.518 21.660
215 0.910 0.530 21.154
220 0.890 0.557 22.312
225 0.880 0.579 22.770
230 0.920 0.744 22.826
235 0.900 0.636 24.182
240 0.910 0.583 24.297
245 0.910 0.573 23.863
250 0.910 0.601 22.574
255 0.880 0.988 22.173
260 0.900 0.617 20.847
265 0.880 0.657 23.068
270 0.840 0.544 22.543
275 0.740 0.698 25.457
280 0.840 0.829 20.536
285 0.800 0.774 19.975
290 0.780 0.456 18.874
295 0.710 0.450 18.245
300 0.790 0.734 18.495
305 0.780 0.745 20.234
310 0.770 0.463 18.216
315 0.730 0.770 16.261
320 0.670 0.710 10.682
325 0.650 0.429 7.558
330 0.640 0.264 7.691
335 0.670 0.136 6.578
340 0.540 0.286 5.443
345 0.600 0.324 4.438
350 0.520 0.000 7.757
355 0.640 0.117 7.116
