 Wd pai   fai   zH
  0 0.670 0.380 13.501
  5 0.730 0.288 10.528
 10 0.740 0.282 9.927
 15 0.660 0.340 10.984
 20 0.740 0.509 9.781
 25 0.710 0.565 10.176
 30 0.640 0.582 10.911
 35 0.680 0.669 11.007
 40 0.800 0.781 13.851
 45 0.770 0.563 18.482
 50 0.840 0.552 17.134
 55 0.830 0.817 16.888
 60 0.790 0.793 15.405
 65 0.760 0.564 13.083
 70 0.700 0.515 9.852
 75 0.680 0.764 5.829
 80 0.630 0.559 3.360
 85 0.640 0.434 3.658
 90 0.590 0.269 2.435
 95 0.500 0.272 2.945
100 0.540 0.346 3.961
105 0.680 0.355 7.308
110 0.790 0.376 8.911
115 0.780 0.484 13.013
120 0.820 0.541 15.358
125 0.890 0.272 16.576
130 0.880 0.305 17.358
135 0.940 0.398 15.663
140 0.920 0.567 12.583
145 0.910 0.645 12.386
150 0.880 0.495 12.371
155 0.850 0.488 11.890
160 0.810 0.464 12.193
165 0.800 0.508 11.200
170 0.790 0.562 11.398
175 0.780 0.611 11.288
180 0.740 0.594 12.376
185 0.740 0.529 10.495
190 0.690 0.582 10.529
195 0.660 0.556 10.833
200 0.630 0.587 10.309
205 0.670 0.800 9.627
210 0.760 0.855 8.921
215 0.700 0.653 11.189
220 0.850 0.384 15.311
225 0.820 0.296 17.260
230 0.820 0.331 17.658
235 0.850 0.486 15.767
240 0.780 0.597 14.037
245 0.720 0.582 11.322
250 0.650 0.783 7.824
255 0.610 0.421 3.968
260 0.640 0.433 3.820
265 0.670 0.362 3.578
270 0.620 0.246 2.405
275 0.650 0.175 2.130
280 0.570 0.186 2.638
285 0.620 0.372 4.438
290 0.630 0.295 9.763
295 0.790 0.226 12.131
300 0.850 0.285 14.415
305 0.900 0.235 16.539
310 0.910 0.231 16.967
315 0.920 0.287 16.913
320 0.930 0.592 13.804
325 0.920 0.388 12.769
330 0.890 0.481 12.499
335 0.790 0.487 12.253
340 0.760 0.669 12.327
345 0.790 0.596 10.911
350 0.830 0.448 10.860
355 0.750 0.354 11.776
