 Wd pai   fai   zH
  0 0.790 0.748 13.019
  5 0.760 0.959 16.033
 10 0.800 0.892 17.027
 15 0.820 0.917 19.372
 20 0.830 0.644 20.836
 25 0.830 0.837 18.204
 30 0.810 0.794 15.389
 35 0.740 0.788 13.303
 40 0.750 0.633 8.510
 45 0.620 0.414 9.209
 50 0.630 0.459 9.048
 55 0.640 0.359 9.333
 60 0.690 0.287 9.298
 65 0.670 0.295 9.695
 70 0.820 0.405 11.593
 75 0.830 0.237 13.869
 80 0.840 0.023 13.728
 85 0.760 0.271 13.733
 90 0.750 0.369 11.319
 95 0.740 0.318 9.903
100 0.710 0.352 9.641
105 0.700 0.364 9.436
110 0.690 0.527 10.113
115 0.740 0.807 11.134
120 0.770 0.626 11.932
125 0.730 0.600 12.891
130 0.760 0.591 13.604
135 0.810 0.493 13.475
140 0.780 0.502 14.553
145 0.770 0.491 14.768
150 0.760 0.493 15.237
155 0.820 0.704 14.899
160 0.820 0.778 12.793
165 0.810 0.726 11.811
170 0.780 1.102 13.734
175 0.760 1.139 14.619
180 0.770 0.681 13.007
185 0.790 0.799 15.233
190 0.770 0.935 17.133
195 0.830 0.969 18.524
200 0.830 1.010 20.091
205 0.800 1.164 18.976
210 0.790 1.302 15.923
215 0.720 1.043 12.711
220 0.690 1.000 12.342
225 0.640 0.839 8.348
230 0.650 0.484 8.226
235 0.630 0.408 9.649
240 0.710 0.301 8.993
245 0.750 0.280 8.556
250 0.650 0.561 11.279
255 0.830 0.570 12.447
260 0.840 0.232 13.819
265 0.830 0.282 12.943
270 0.750 0.273 11.967
275 0.670 0.288 12.081
280 0.680 0.401 11.096
285 0.630 0.327 11.134
290 0.740 0.427 9.678
295 0.700 0.582 11.510
300 0.710 0.660 12.915
305 0.710 0.823 13.635
310 0.800 0.723 12.760
315 0.860 0.523 12.514
320 0.800 0.494 14.499
325 0.790 0.581 14.671
330 0.770 0.652 14.866
335 0.860 0.772 12.906
340 0.780 0.757 12.406
345 0.800 0.705 11.667
350 0.780 0.682 13.840
355 0.770 0.842 13.371
