 Wd pai   fai   zH
  0 0.680 0.377 6.590
  5 0.760 1.149 9.248
 10 0.820 0.872 12.429
 15 0.870 0.922 12.843
 20 0.880 1.004 15.431
 25 0.900 0.992 17.498
 30 0.920 0.944 18.758
 35 0.910 1.024 19.012
 40 0.910 0.891 19.324
 45 0.890 0.734 20.506
 50 0.920 0.662 20.896
 55 0.940 0.339 20.681
 60 0.930 0.421 20.603
 65 0.880 0.367 19.591
 70 0.860 0.561 17.959
 75 0.780 0.658 15.655
 80 0.780 0.692 15.232
 85 0.850 0.640 14.752
 90 0.920 0.596 14.083
 95 0.910 0.675 15.018
100 0.910 0.594 14.579
105 0.900 0.492 15.175
110 0.880 0.347 14.795
115 0.890 0.391 16.468
120 0.880 0.524 16.997
125 0.880 0.550 16.419
130 0.860 0.369 15.191
135 0.910 0.238 12.344
140 0.870 0.567 10.772
145 0.880 0.421 8.278
150 0.840 0.524 7.950
155 0.810 0.371 7.053
160 0.800 0.443 6.974
165 0.740 0.345 7.252
170 0.740 0.258 6.964
175 0.600 0.369 7.615
180 0.550 0.420 8.371
185 0.710 0.570 7.806
190 0.860 0.934 11.601
195 0.870 0.656 13.477
200 0.860 0.688 15.912
205 0.870 0.720 17.832
210 0.890 0.729 19.623
215 0.880 0.906 19.390
220 0.900 0.987 18.467
225 0.890 0.746 19.937
230 0.900 0.808 21.418
235 0.940 0.536 20.958
240 0.930 0.502 21.069
245 0.900 0.716 19.764
250 0.880 0.622 18.419
255 0.800 0.614 16.694
260 0.770 0.456 15.292
265 0.780 0.342 15.554
270 0.920 0.346 14.086
275 0.920 0.404 14.452
280 0.910 0.420 14.468
285 0.910 0.533 14.826
290 0.900 0.797 14.916
295 0.890 0.650 16.630
300 0.880 0.796 16.000
305 0.900 0.652 15.680
310 0.900 0.687 14.598
315 0.900 0.477 12.705
320 0.840 0.701 11.863
325 0.900 0.522 8.289
330 0.830 0.627 8.141
335 0.790 0.472 7.146
340 0.770 0.420 7.012
345 0.770 0.344 6.775
350 0.740 0.283 7.029
355 0.790 0.284 6.380
